,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.4207266087998895,0.5530318567759087,1000,random,uniform,Lime,10,1,LEFTIST'>
1,0.3593013288597049,0.48884995444115614,1000,random,uniform,Lime,10,1,LEFTIST'>
2,0.10750237346485474,0.28012761111141127,1000,random,uniform,Lime,10,1,LEFTIST'>
3,0.16347438710651438,0.18894547874133705,1000,random,uniform,Lime,10,1,LEFTIST'>
4,0.5028890735849243,0.6133661641395781,1000,random,uniform,Lime,10,1,LEFTIST'>
5,0.1366089601614994,0.22923960710308075,1000,random,uniform,Lime,10,1,LEFTIST'>
6,0.35236393986944886,0.49264822421807375,1000,random,uniform,Lime,10,1,LEFTIST'>
7,0.17831140222728875,0.25469039270564975,1000,random,uniform,Lime,10,1,LEFTIST'>
8,0.16839604017179782,0.372169337421748,1000,random,uniform,Lime,10,1,LEFTIST'>
9,0.2849716787068628,0.37065932508203636,1000,random,uniform,Lime,10,1,LEFTIST'>
10,0.10341624687707004,0.13312615280986892,1000,random,uniform,Lime,10,1,LEFTIST'>
11,0.11744156156012667,0.11720302210822157,1000,random,uniform,Lime,10,1,LEFTIST'>
12,0.12552384454173432,0.30714160561115544,1000,random,uniform,Lime,10,1,LEFTIST'>
13,0.11885492603790122,0.4129133869650874,1000,random,uniform,Lime,10,1,LEFTIST'>
14,0.24040097897298773,0.38020479981965283,1000,random,uniform,Lime,10,1,LEFTIST'>
15,0.3430232222033314,0.5545526201020461,1000,random,uniform,Lime,10,1,LEFTIST'>
16,0.16631800960041995,0.4281367773852738,1000,random,uniform,Lime,10,1,LEFTIST'>
17,0.419372157392913,0.5508621113633997,1000,random,uniform,Lime,10,1,LEFTIST'>
18,0.39870540223125506,0.4744251630927671,1000,random,uniform,Lime,10,1,LEFTIST'>
19,0.4315300513256308,0.5900688880915921,1000,random,uniform,Lime,10,1,LEFTIST'>
