,AverageSensitivity,MaxSensitivity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,0.3467079131178823,0.3601803347832756,50,NG,dtw,500,1,NativeGuideCF'>
1,0.33995450315239023,0.34646241053245663,50,NG,dtw,500,1,NativeGuideCF'>
2,0.3842597541110124,0.3904914072375457,50,NG,dtw,500,1,NativeGuideCF'>
3,0.3576244254609339,0.3757389408528349,50,NG,dtw,500,1,NativeGuideCF'>
4,0.3734061586514909,0.38717496673758683,50,NG,dtw,500,1,NativeGuideCF'>
5,0.34480639390251183,0.349294056034135,50,NG,dtw,500,1,NativeGuideCF'>
6,0.48843527038514545,0.49585257374497765,50,NG,dtw,500,1,NativeGuideCF'>
7,0.39132725131545243,0.4009284073638554,50,NG,dtw,500,1,NativeGuideCF'>
8,0.888756974050192,0.8889469608976701,50,NG,dtw,500,1,NativeGuideCF'>
9,0.4396132869730893,0.45090379799633973,50,NG,dtw,500,1,NativeGuideCF'>
10,0.5904109952971099,0.5942479660749361,50,NG,dtw,500,1,NativeGuideCF'>
11,0.42534654534075844,0.4314915474853433,50,NG,dtw,500,1,NativeGuideCF'>
12,0.6127729431372416,0.6214060596118075,50,NG,dtw,500,1,NativeGuideCF'>
13,0.5117972774444993,0.5180134936546471,50,NG,dtw,500,1,NativeGuideCF'>
14,0.3776707890797098,0.4127596150385494,50,NG,dtw,500,1,NativeGuideCF'>
15,0.39744701596787185,0.4234944070149791,50,NG,dtw,500,1,NativeGuideCF'>
16,0.4828593883148044,0.488229199553363,50,NG,dtw,500,1,NativeGuideCF'>
17,0.349175622995578,0.36098793072079177,50,NG,dtw,500,1,NativeGuideCF'>
18,0.4482463808710195,0.46383889932510924,50,NG,dtw,500,1,NativeGuideCF'>
19,0.461510085446851,0.5066145076344625,50,NG,dtw,500,1,NativeGuideCF'>
