,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,,IG,True,Saliency_PTY'>
1,True,,IG,True,Saliency_PTY'>
2,True,,IG,True,Saliency_PTY'>
3,True,,IG,True,Saliency_PTY'>
4,True,,IG,True,Saliency_PTY'>
5,True,,IG,True,Saliency_PTY'>
6,True,-0.5521496259264725,IG,True,Saliency_PTY'>
7,True,0.08452554087910248,IG,True,Saliency_PTY'>
8,True,0.0816362541314854,IG,True,Saliency_PTY'>
9,True,,IG,True,Saliency_PTY'>
10,True,,IG,True,Saliency_PTY'>
11,True,,IG,True,Saliency_PTY'>
12,True,0.021102491906618635,IG,True,Saliency_PTY'>
13,True,,IG,True,Saliency_PTY'>
14,True,-0.16888386033605599,IG,True,Saliency_PTY'>
15,True,0.24525409789900723,IG,True,Saliency_PTY'>
16,True,,IG,True,Saliency_PTY'>
17,True,,IG,True,Saliency_PTY'>
18,True,,IG,True,Saliency_PTY'>
19,True,,IG,True,Saliency_PTY'>
