,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,-0.15121963304691674,authentic_opposing_information,100,TSEvo'>
1,True,0.06016320355858524,authentic_opposing_information,100,TSEvo'>
2,True,-0.05766242112464749,authentic_opposing_information,100,TSEvo'>
3,True,-0.1716641899661332,authentic_opposing_information,100,TSEvo'>
4,True,0.1562745295845629,authentic_opposing_information,100,TSEvo'>
5,True,-0.19458996767604325,authentic_opposing_information,100,TSEvo'>
6,True,-0.003906809531896406,authentic_opposing_information,100,TSEvo'>
7,True,-0.13368878913798857,authentic_opposing_information,100,TSEvo'>
8,True,0.05962396628605501,authentic_opposing_information,100,TSEvo'>
9,True,0.1638297041487048,authentic_opposing_information,100,TSEvo'>
10,True,0.04564301827844432,authentic_opposing_information,100,TSEvo'>
11,True,-0.015340794174546837,authentic_opposing_information,100,TSEvo'>
12,True,0.0756984109924036,authentic_opposing_information,100,TSEvo'>
13,True,-0.06922281506595136,authentic_opposing_information,100,TSEvo'>
14,True,0.011296041021795619,authentic_opposing_information,100,TSEvo'>
15,True,-0.02291293475355394,authentic_opposing_information,100,TSEvo'>
16,True,0.14678552470525433,authentic_opposing_information,100,TSEvo'>
17,True,-0.08705997050442632,authentic_opposing_information,100,TSEvo'>
18,True,-0.014026012010631922,authentic_opposing_information,100,TSEvo'>
19,True,0.00029222230490946396,authentic_opposing_information,100,TSEvo'>
