,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,-0.022904517542605866,authentic_opposing_information,100,TSEvo'>
1,True,0.08468835906649103,authentic_opposing_information,100,TSEvo'>
2,True,-0.15469970711055298,authentic_opposing_information,100,TSEvo'>
3,True,-0.04160411733707675,authentic_opposing_information,100,TSEvo'>
4,True,-0.02859957255721051,authentic_opposing_information,100,TSEvo'>
5,True,0.07991076524302192,authentic_opposing_information,100,TSEvo'>
6,True,-0.017916339916578917,authentic_opposing_information,100,TSEvo'>
7,True,-0.01789380356852098,authentic_opposing_information,100,TSEvo'>
8,True,-0.0003313510319089745,authentic_opposing_information,100,TSEvo'>
9,True,0.1126227178247761,authentic_opposing_information,100,TSEvo'>
10,True,-0.03232775599516926,authentic_opposing_information,100,TSEvo'>
11,True,-0.1025904666088881,authentic_opposing_information,100,TSEvo'>
12,True,-0.16000903762785304,authentic_opposing_information,100,TSEvo'>
13,True,0.08559764848496182,authentic_opposing_information,100,TSEvo'>
14,True,0.026728767834444105,authentic_opposing_information,100,TSEvo'>
15,True,-0.2318322411514412,authentic_opposing_information,100,TSEvo'>
16,True,-0.08391871896498826,authentic_opposing_information,100,TSEvo'>
17,True,-0.1252178516336697,authentic_opposing_information,100,TSEvo'>
18,True,0.061017004307197836,authentic_opposing_information,100,TSEvo'>
19,True,-0.037924507937904785,authentic_opposing_information,100,TSEvo'>
