,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,-0.19022342926130748,FO,True,Saliency_PTY'>
1,True,0.13290377953080648,FO,True,Saliency_PTY'>
2,True,0.34340916472653976,FO,True,Saliency_PTY'>
3,True,0.24961304222363132,FO,True,Saliency_PTY'>
4,True,0.008567231011799528,FO,True,Saliency_PTY'>
5,True,0.16427358408008114,FO,True,Saliency_PTY'>
6,True,-0.03832087177662846,FO,True,Saliency_PTY'>
7,True,0.3986488066044221,FO,True,Saliency_PTY'>
8,True,0.07509280702110294,FO,True,Saliency_PTY'>
9,True,0.1006609611485554,FO,True,Saliency_PTY'>
10,True,0.19402656748072503,FO,True,Saliency_PTY'>
11,True,0.021750414854637367,FO,True,Saliency_PTY'>
12,True,0.1207264454492972,FO,True,Saliency_PTY'>
13,True,-0.10462640064948818,FO,True,Saliency_PTY'>
14,True,0.30859677270895003,FO,True,Saliency_PTY'>
15,True,0.050633932910335924,FO,True,Saliency_PTY'>
16,True,-0.2148283813497557,FO,True,Saliency_PTY'>
17,True,0.2716922532904586,FO,True,Saliency_PTY'>
18,True,0.17192247678142175,FO,True,Saliency_PTY'>
19,True,0.15751817026608045,FO,True,Saliency_PTY'>
