,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,-0.08425261535431308,GS,True,Saliency_PTY'>
1,True,0.02331843683616592,GS,True,Saliency_PTY'>
2,True,0.2028673730703166,GS,True,Saliency_PTY'>
3,True,0.10184530893809449,GS,True,Saliency_PTY'>
4,True,-0.023485138603803905,GS,True,Saliency_PTY'>
5,True,-0.10612420592129987,GS,True,Saliency_PTY'>
6,True,0.14103502274449495,GS,True,Saliency_PTY'>
7,True,0.09476120302301691,GS,True,Saliency_PTY'>
8,True,0.0656768483923381,GS,True,Saliency_PTY'>
9,True,0.008473263982137443,GS,True,Saliency_PTY'>
10,True,0.16442910914868902,GS,True,Saliency_PTY'>
11,True,-0.20323789427490818,GS,True,Saliency_PTY'>
12,True,0.010202559733791167,GS,True,Saliency_PTY'>
13,True,0.09665606624702411,GS,True,Saliency_PTY'>
14,True,-0.016100732091344203,GS,True,Saliency_PTY'>
15,True,0.05580259759779847,GS,True,Saliency_PTY'>
16,True,-0.18151937362664392,GS,True,Saliency_PTY'>
17,True,-0.0476998563197708,GS,True,Saliency_PTY'>
18,True,0.012235377641094575,GS,True,Saliency_PTY'>
19,True,-0.10235825896090092,GS,True,Saliency_PTY'>
