,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.025687996427965848,SG,True,Saliency_PTY'>
1,True,0.019532128008752488,SG,True,Saliency_PTY'>
2,True,-0.09973167375578443,SG,True,Saliency_PTY'>
3,True,-0.0496265090390396,SG,True,Saliency_PTY'>
4,True,-0.03143112145961951,SG,True,Saliency_PTY'>
5,True,0.12011934661665578,SG,True,Saliency_PTY'>
6,True,0.04729652728830107,SG,True,Saliency_PTY'>
7,True,-0.11044120544688096,SG,True,Saliency_PTY'>
8,True,-0.15380014998410763,SG,True,Saliency_PTY'>
9,True,0.1662655577675497,SG,True,Saliency_PTY'>
10,True,0.17707808524213112,SG,True,Saliency_PTY'>
11,True,0.09542164856039259,SG,True,Saliency_PTY'>
12,True,0.0934559078222266,SG,True,Saliency_PTY'>
13,True,-0.08545051302139946,SG,True,Saliency_PTY'>
14,True,-0.10273496457107226,SG,True,Saliency_PTY'>
15,True,0.018071183289658902,SG,True,Saliency_PTY'>
16,True,0.09949339410986258,SG,True,Saliency_PTY'>
17,True,-0.08110364430573147,SG,True,Saliency_PTY'>
18,True,-0.09917470780124688,SG,True,Saliency_PTY'>
19,True,-0.06839477971794902,SG,True,Saliency_PTY'>
