,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.5387232306479145,GRAD,False,Saliency_PTY'>
1,True,0.6056096658860539,GRAD,False,Saliency_PTY'>
2,True,0.6563946142601433,GRAD,False,Saliency_PTY'>
3,True,0.4322295759591694,GRAD,False,Saliency_PTY'>
4,True,0.6891562831056173,GRAD,False,Saliency_PTY'>
5,True,0.5660574242330801,GRAD,False,Saliency_PTY'>
6,True,0.4192214351668945,GRAD,False,Saliency_PTY'>
7,True,0.3428548230009263,GRAD,False,Saliency_PTY'>
8,True,0.3289301314727849,GRAD,False,Saliency_PTY'>
9,True,0.27577141451693954,GRAD,False,Saliency_PTY'>
10,True,0.23124888393364562,GRAD,False,Saliency_PTY'>
11,True,0.2376777938485829,GRAD,False,Saliency_PTY'>
12,True,0.428414406303187,GRAD,False,Saliency_PTY'>
13,True,0.5704699966471871,GRAD,False,Saliency_PTY'>
14,True,0.6343303393677538,GRAD,False,Saliency_PTY'>
15,True,0.6658168732951757,GRAD,False,Saliency_PTY'>
16,True,0.791890195870867,GRAD,False,Saliency_PTY'>
17,True,0.4133724349151365,GRAD,False,Saliency_PTY'>
18,True,0.19844852390653542,GRAD,False,Saliency_PTY'>
19,True,0.510617149782403,GRAD,False,Saliency_PTY'>
