,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,,FO,False,Saliency_PTY'>
1,True,0.267326685080624,FO,False,Saliency_PTY'>
2,True,0.29012116218476686,FO,False,Saliency_PTY'>
3,True,,FO,False,Saliency_PTY'>
4,True,0.4081645528622261,FO,False,Saliency_PTY'>
5,True,0.42961617562115156,FO,False,Saliency_PTY'>
6,True,0.22865980379493997,FO,False,Saliency_PTY'>
7,True,,FO,False,Saliency_PTY'>
8,True,0.4336065634446078,FO,False,Saliency_PTY'>
9,True,0.2625852016788925,FO,False,Saliency_PTY'>
10,True,0.184038876893786,FO,False,Saliency_PTY'>
11,True,,FO,False,Saliency_PTY'>
12,True,0.29894223113997276,FO,False,Saliency_PTY'>
13,True,0.26686744293136005,FO,False,Saliency_PTY'>
14,True,,FO,False,Saliency_PTY'>
15,True,,FO,False,Saliency_PTY'>
16,True,0.31331927210336513,FO,False,Saliency_PTY'>
17,True,0.5255086889984464,FO,False,Saliency_PTY'>
18,True,,FO,False,Saliency_PTY'>
19,True,,FO,False,Saliency_PTY'>
