,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,0.007686422724098389,authentic_opposing_information,100,TSEvo'>
1,True,-0.005410368053588788,authentic_opposing_information,100,TSEvo'>
2,True,0.22728630711719186,authentic_opposing_information,100,TSEvo'>
3,True,0.09759512516316216,authentic_opposing_information,100,TSEvo'>
4,True,0.04722953183379378,authentic_opposing_information,100,TSEvo'>
5,True,-0.1723754481955482,authentic_opposing_information,100,TSEvo'>
6,True,0.13833516355487388,authentic_opposing_information,100,TSEvo'>
7,True,-0.019502818580856843,authentic_opposing_information,100,TSEvo'>
8,True,0.09714259593773289,authentic_opposing_information,100,TSEvo'>
9,True,0.29290948520065624,authentic_opposing_information,100,TSEvo'>
10,True,0.2379408252694016,authentic_opposing_information,100,TSEvo'>
11,True,0.09527281710578121,authentic_opposing_information,100,TSEvo'>
12,True,0.16925143041477886,authentic_opposing_information,100,TSEvo'>
13,True,0.03123607871816814,authentic_opposing_information,100,TSEvo'>
14,True,0.1578864191718869,authentic_opposing_information,100,TSEvo'>
15,True,-0.02319894167405239,authentic_opposing_information,100,TSEvo'>
16,True,-0.11417289839334806,authentic_opposing_information,100,TSEvo'>
17,True,-0.01251824451301925,authentic_opposing_information,100,TSEvo'>
18,True,0.057821811682962895,authentic_opposing_information,100,TSEvo'>
19,True,-0.011126499879175977,authentic_opposing_information,100,TSEvo'>
