,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,0.2686594946443359,authentic_opposing_information,100,TSEvo'>
1,True,-0.02844758757153139,authentic_opposing_information,100,TSEvo'>
2,True,0.35175887025487657,authentic_opposing_information,100,TSEvo'>
3,True,-0.1925316358686316,authentic_opposing_information,100,TSEvo'>
4,True,0.36954039898001945,authentic_opposing_information,100,TSEvo'>
5,True,-0.32850554513904656,authentic_opposing_information,100,TSEvo'>
6,True,-0.05988134325375631,authentic_opposing_information,100,TSEvo'>
7,True,-0.2798654044952414,authentic_opposing_information,100,TSEvo'>
8,True,-0.04969163399979878,authentic_opposing_information,100,TSEvo'>
9,True,0.3245295996092226,authentic_opposing_information,100,TSEvo'>
10,True,0.05652763226555377,authentic_opposing_information,100,TSEvo'>
11,True,0.006314948354148219,authentic_opposing_information,100,TSEvo'>
12,True,-0.1969031037414022,authentic_opposing_information,100,TSEvo'>
13,True,0.11380735616956017,authentic_opposing_information,100,TSEvo'>
14,True,-0.1573942242202614,authentic_opposing_information,100,TSEvo'>
15,True,0.36110769030438916,authentic_opposing_information,100,TSEvo'>
16,True,0.2649987726326152,authentic_opposing_information,100,TSEvo'>
17,True,0.32286594724665413,authentic_opposing_information,100,TSEvo'>
18,True,0.03350315517715354,authentic_opposing_information,100,TSEvo'>
19,True,-0.2424164390895295,authentic_opposing_information,100,TSEvo'>
