,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,,IG,False,Saliency_PTY'>
1,True,0.36969844414639796,IG,False,Saliency_PTY'>
2,True,0.26392611031836466,IG,False,Saliency_PTY'>
3,True,,IG,False,Saliency_PTY'>
4,True,0.34869687455443277,IG,False,Saliency_PTY'>
5,True,0.3832206610778235,IG,False,Saliency_PTY'>
6,True,0.2572031654001534,IG,False,Saliency_PTY'>
7,True,,IG,False,Saliency_PTY'>
8,True,0.13776356215768676,IG,False,Saliency_PTY'>
9,True,0.3413146355550687,IG,False,Saliency_PTY'>
10,True,0.26697013713489026,IG,False,Saliency_PTY'>
11,True,,IG,False,Saliency_PTY'>
12,True,0.4485559578138653,IG,False,Saliency_PTY'>
13,True,0.21008537099230642,IG,False,Saliency_PTY'>
14,True,,IG,False,Saliency_PTY'>
15,True,,IG,False,Saliency_PTY'>
16,True,0.26751446050251176,IG,False,Saliency_PTY'>
17,True,0.31864359393955494,IG,False,Saliency_PTY'>
18,True,,IG,False,Saliency_PTY'>
19,True,,IG,False,Saliency_PTY'>
