,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.05875222392432216,FO,True,Saliency_PTY'>
1,True,0.03950163585107377,FO,True,Saliency_PTY'>
2,True,-0.07326009464442834,FO,True,Saliency_PTY'>
3,True,0.09535007301327557,FO,True,Saliency_PTY'>
4,True,-0.07471010206301354,FO,True,Saliency_PTY'>
5,True,-0.1522254413838812,FO,True,Saliency_PTY'>
6,True,-0.015633308724556295,FO,True,Saliency_PTY'>
7,True,0.15178554531127547,FO,True,Saliency_PTY'>
8,True,0.01863460039275727,FO,True,Saliency_PTY'>
9,True,-0.05906203846363443,FO,True,Saliency_PTY'>
10,True,-0.05663602058516591,FO,True,Saliency_PTY'>
11,True,-0.14694110279454295,FO,True,Saliency_PTY'>
12,True,0.1126893674876679,FO,True,Saliency_PTY'>
13,True,0.07473448504047567,FO,True,Saliency_PTY'>
14,True,-0.07842679661054185,FO,True,Saliency_PTY'>
15,True,0.05068048541047217,FO,True,Saliency_PTY'>
16,True,-0.012955613030605115,FO,True,Saliency_PTY'>
17,True,-0.04687983683726407,FO,True,Saliency_PTY'>
18,True,-0.0602823530116178,FO,True,Saliency_PTY'>
19,True,-0.01992226543004134,FO,True,Saliency_PTY'>
