,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,,authentic_opposing_information,100,TSEvo'>
1,True,0.10652792763791082,authentic_opposing_information,100,TSEvo'>
2,True,0.22860567233975135,authentic_opposing_information,100,TSEvo'>
3,True,,authentic_opposing_information,100,TSEvo'>
4,True,0.2134630064004469,authentic_opposing_information,100,TSEvo'>
5,True,0.1473665753921908,authentic_opposing_information,100,TSEvo'>
6,True,0.2262603531723115,authentic_opposing_information,100,TSEvo'>
7,True,,authentic_opposing_information,100,TSEvo'>
8,True,0.09803631547149805,authentic_opposing_information,100,TSEvo'>
9,True,0.054457409049063134,authentic_opposing_information,100,TSEvo'>
10,True,0.17446856311305764,authentic_opposing_information,100,TSEvo'>
11,True,,authentic_opposing_information,100,TSEvo'>
12,True,0.19030285913325756,authentic_opposing_information,100,TSEvo'>
13,True,0.017657949299762304,authentic_opposing_information,100,TSEvo'>
14,True,,authentic_opposing_information,100,TSEvo'>
15,True,,authentic_opposing_information,100,TSEvo'>
16,True,0.1681933937608286,authentic_opposing_information,100,TSEvo'>
17,True,0.2511788550924593,authentic_opposing_information,100,TSEvo'>
18,True,,authentic_opposing_information,100,TSEvo'>
19,True,,authentic_opposing_information,100,TSEvo'>
