,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthtic,faithfulness_correlation_synthtic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
1,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
2,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
3,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
4,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
5,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
7,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
8,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
9,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
10,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
11,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
12,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
13,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
14,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
15,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
16,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
17,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
18,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
19,False,,,,,,1000,random,uniform,Lime,10,1,LEFTIST'>
