,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,False,-0.1803892053982439,True,-0.6363064507458898,True,-0.03482474596887866,mutate_both,100,TSEvo'>
1,False,0.04210011819278602,True,-0.0840812379923031,True,-0.06354668314631771,mutate_both,100,TSEvo'>
2,False,0.18676992753104574,True,0.41380460662155166,True,-0.00643063184005249,mutate_both,100,TSEvo'>
3,False,-0.08184279127638638,True,0.11972910614390114,True,0.30235569662807577,mutate_both,100,TSEvo'>
4,False,0.04043452123223891,True,-0.2801273031850823,True,-0.0913069583520833,mutate_both,100,TSEvo'>
5,False,-0.27915553308583757,True,-0.32085205330894445,True,-0.2009448687617864,mutate_both,100,TSEvo'>
6,False,0.028520183622406176,True,0.08599524107251919,True,0.09942869269726584,mutate_both,100,TSEvo'>
7,False,-0.03178232814458891,True,0.022078433348681033,True,-0.13605201672442027,mutate_both,100,TSEvo'>
8,False,0.06781926653999353,True,0.09088974567224216,True,0.20596002384838966,mutate_both,100,TSEvo'>
9,False,-0.20729852626042053,True,-0.3018377851124079,True,0.027464877165975836,mutate_both,100,TSEvo'>
10,False,-0.05575978818550934,True,0.2032951332411694,True,-0.1263722182136124,mutate_both,100,TSEvo'>
11,False,0.15340000662843567,True,0.4036853801724912,True,0.09150682645626573,mutate_both,100,TSEvo'>
12,False,0.06297539639457816,True,0.34830996754891314,True,0.07332529590608097,mutate_both,100,TSEvo'>
13,False,-0.16498014624617283,True,0.39155970041365235,True,-0.12005546435196891,mutate_both,100,TSEvo'>
14,False,0.0827486912208919,True,0.08839903024004268,True,0.1760372991286502,mutate_both,100,TSEvo'>
15,False,-0.1912850575146014,True,-0.12531038622832136,True,0.10470348574845327,mutate_both,100,TSEvo'>
16,False,-0.09017378643353188,True,-0.13870823114905537,True,0.2865764176817728,mutate_both,100,TSEvo'>
17,False,-0.1633607147573988,True,-0.5632957547137827,True,0.22630070238847935,mutate_both,100,TSEvo'>
18,False,0.06552923957005384,True,-0.22876198122619318,True,0.011228444329427765,mutate_both,100,TSEvo'>
19,False,0.061183365886848265,True,0.22645618885953891,True,0.22619688422895548,mutate_both,100,TSEvo'>
