,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.750070330946273,50,NUN_CF,dtw,500,1,NativeGuideCF'>
1,3.7357722832928544,50,NUN_CF,dtw,500,1,NativeGuideCF'>
2,3.7928870155330308,50,NUN_CF,dtw,500,1,NativeGuideCF'>
3,3.762377997841756,50,NUN_CF,dtw,500,1,NativeGuideCF'>
4,3.7134283515980795,50,NUN_CF,dtw,500,1,NativeGuideCF'>
5,3.7568519849799014,50,NUN_CF,dtw,500,1,NativeGuideCF'>
6,3.777963570200771,50,NUN_CF,dtw,500,1,NativeGuideCF'>
7,3.777868725591524,50,NUN_CF,dtw,500,1,NativeGuideCF'>
8,3.7243859995966324,50,NUN_CF,dtw,500,1,NativeGuideCF'>
9,3.816224560158478,50,NUN_CF,dtw,500,1,NativeGuideCF'>
10,3.675376159294165,50,NUN_CF,dtw,500,1,NativeGuideCF'>
11,3.7659752637612662,50,NUN_CF,dtw,500,1,NativeGuideCF'>
12,3.787254787195645,50,NUN_CF,dtw,500,1,NativeGuideCF'>
13,3.7599628447485136,50,NUN_CF,dtw,500,1,NativeGuideCF'>
14,3.7658190141121652,50,NUN_CF,dtw,500,1,NativeGuideCF'>
15,3.6801655949175456,50,NUN_CF,dtw,500,1,NativeGuideCF'>
16,3.758730954349128,50,NUN_CF,dtw,500,1,NativeGuideCF'>
17,3.771507346806479,50,NUN_CF,dtw,500,1,NativeGuideCF'>
