,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.863783520346387,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,3.6793478528132484,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,3.888615850775065,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,3.820530262042703,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,3.707733142367622,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,3.5941517673380186,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,3.8705685871332967,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,3.832485498538989,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,3.8012461090370633,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,3.6671767255765055,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,3.7749698909031912,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,3.678104431111992,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,3.864251012697651,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,3.6135568328830665,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,3.6259267802125423,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,3.801822490944057,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,3.628199922496124,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,3.8831748777677646,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,3.656955383146782,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
