,complexity,method,tsr,explanation
0,1.3341125507167086,GRAD,False,Saliency_PTY'>
1,1.0464505142118017,GRAD,False,Saliency_PTY'>
2,1.4843454306388582,GRAD,False,Saliency_PTY'>
3,1.408750779541893,GRAD,False,Saliency_PTY'>
4,1.6855879353250096,GRAD,False,Saliency_PTY'>
5,1.3205079766231913,GRAD,False,Saliency_PTY'>
6,1.4263603628797794,GRAD,False,Saliency_PTY'>
7,1.3497534203275385,GRAD,False,Saliency_PTY'>
8,1.341520515887895,GRAD,False,Saliency_PTY'>
9,1.230954476908595,GRAD,False,Saliency_PTY'>
10,1.4263779322217274,GRAD,False,Saliency_PTY'>
11,1.6905613139709041,GRAD,False,Saliency_PTY'>
12,1.6903964366813027,GRAD,False,Saliency_PTY'>
13,1.275199248513052,GRAD,False,Saliency_PTY'>
14,1.1357868074262096,GRAD,False,Saliency_PTY'>
15,1.4452185605099679,GRAD,False,Saliency_PTY'>
16,1.3518603587415037,GRAD,False,Saliency_PTY'>
17,1.407617801766999,GRAD,False,Saliency_PTY'>
18,1.652340797682168,GRAD,False,Saliency_PTY'>
19,1.3320077362417522,GRAD,False,Saliency_PTY'>
