,complexity,transformer,epochs,explanation
0,3.7983437693969084,authentic_opposing_information,100,TSEvo'>
1,3.795276462354433,authentic_opposing_information,100,TSEvo'>
2,3.8001357298032636,authentic_opposing_information,100,TSEvo'>
3,3.725684404043848,authentic_opposing_information,100,TSEvo'>
4,3.712364797623404,authentic_opposing_information,100,TSEvo'>
5,3.795231343751281,authentic_opposing_information,100,TSEvo'>
6,3.794374441538934,authentic_opposing_information,100,TSEvo'>
7,3.7095342446127333,authentic_opposing_information,100,TSEvo'>
8,3.7362959417472528,authentic_opposing_information,100,TSEvo'>
9,3.766905990800697,authentic_opposing_information,100,TSEvo'>
10,3.792448150184617,authentic_opposing_information,100,TSEvo'>
11,3.7579604378442197,authentic_opposing_information,100,TSEvo'>
12,3.7240307965685293,authentic_opposing_information,100,TSEvo'>
13,3.7818147938666913,authentic_opposing_information,100,TSEvo'>
14,3.8214734226570086,authentic_opposing_information,100,TSEvo'>
15,3.795356011079941,authentic_opposing_information,100,TSEvo'>
16,3.7721233518604214,authentic_opposing_information,100,TSEvo'>
17,3.776002297503552,authentic_opposing_information,100,TSEvo'>
18,3.8055397551499515,authentic_opposing_information,100,TSEvo'>
19,3.7860677791636235,authentic_opposing_information,100,TSEvo'>
