,complexity,transformer,epochs,explanation
0,3.7312523437688516,authentic_opposing_information,100,TSEvo'>
1,3.6345799707609783,authentic_opposing_information,100,TSEvo'>
2,3.709801465510835,authentic_opposing_information,100,TSEvo'>
3,3.7301390071318576,authentic_opposing_information,100,TSEvo'>
4,3.716127818157899,authentic_opposing_information,100,TSEvo'>
5,3.732333070434486,authentic_opposing_information,100,TSEvo'>
6,3.741576440935632,authentic_opposing_information,100,TSEvo'>
7,3.7015976660131718,authentic_opposing_information,100,TSEvo'>
8,3.6755595814659654,authentic_opposing_information,100,TSEvo'>
9,3.6483946711058626,authentic_opposing_information,100,TSEvo'>
10,3.728560739563709,authentic_opposing_information,100,TSEvo'>
11,3.768001407237066,authentic_opposing_information,100,TSEvo'>
12,3.716332438533614,authentic_opposing_information,100,TSEvo'>
13,3.5461558234739265,authentic_opposing_information,100,TSEvo'>
14,3.736891156439011,authentic_opposing_information,100,TSEvo'>
15,3.67682948817246,authentic_opposing_information,100,TSEvo'>
16,3.6779937082726315,authentic_opposing_information,100,TSEvo'>
17,3.7412263083404187,authentic_opposing_information,100,TSEvo'>
18,3.6697779800897017,authentic_opposing_information,100,TSEvo'>
19,3.7136879357199515,authentic_opposing_information,100,TSEvo'>
