,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.7955740201928307,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
1,3.8411043775832416,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
2,3.861109108710298,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
3,3.863224864463098,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
4,3.8524916001582628,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
5,3.8372455344183694,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
6,3.8222647123230162,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
7,3.787744844117987,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
8,3.8244467617990656,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
9,3.8259413608528385,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
10,3.8107260521786843,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
11,3.8042078910940997,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
12,3.8558534862290825,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
13,3.8712848540818507,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
14,3.8151561052489438,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
15,3.787015999069002,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
16,3.783313830747958,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
17,3.8347349511037265,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
18,3.819739724078322,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
19,3.836468715729691,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
