,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.8172004244295827,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
1,3.8357351853802757,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
2,3.8377218942986495,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
3,3.839169000678026,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
4,3.8041950177453963,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
5,3.8611943599643728,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
6,3.8223317777547106,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
7,3.8556403767306997,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
8,3.801641856372956,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
9,3.8593546495719737,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
10,3.867883048228332,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
11,3.8319051179805217,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
12,3.86673495051887,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
13,3.8401350070609355,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
14,3.8352054668190347,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
15,3.8465749567661676,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
16,3.7888302160571925,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
17,3.868120961843388,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
18,3.8242748104217648,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
19,3.798793594005899,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
