,complexity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,1.6094379124341005,1000,random,uniform,SHAP,10,1,LEFTIST'>
