,model,name,acc,f1,prec,rec,auc
0,LSTM,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,0.48,0.48,1.0,0.48,0.5
1,LSTM_ATT,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.979591836734694,0.9903846153846152
2,CNN,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
3,LSTM,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
4,LSTM_ATT,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
5,CNN,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
6,LSTM,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
7,LSTM_ATT,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
8,CNN,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
9,LSTM,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
10,LSTM_ATT,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
11,CNN,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
12,LSTM,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
13,LSTM_ATT,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
14,CNN,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
15,LSTM,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
16,LSTM_ATT,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
17,CNN,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
18,LSTM,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,0.9777777777777776,1.0,0.9888888888888888
19,LSTM_ATT,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.9782608695652174,0.9909090909090909
20,CNN,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
21,LSTM,SimulatedTrainingData_Moving_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
22,LSTM_ATT,SimulatedTrainingData_Moving_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
23,CNN,SimulatedTrainingData_Moving_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
24,LSTM,SimulatedTrainingData_Moving_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
25,LSTM_ATT,SimulatedTrainingData_Moving_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
26,CNN,SimulatedTrainingData_Moving_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
27,LSTM,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
28,LSTM_ATT,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
29,CNN,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
30,LSTM,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
31,LSTM_ATT,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
32,CNN,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
33,LSTM,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_50_TS_50.npy,0.82,0.82,0.7272727272727273,0.9302325581395348,0.8303030303030303
34,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_50_TS_50.npy,0.8,0.8000000000000002,0.8,0.8301886792452831,0.8
35,CNN,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_50_TS_50.npy,0.55,0.55,1.0,0.55,0.5
36,LSTM,SimulatedTrainingData_Moving_RareFeature_Box_F_50_TS_50.npy,0.45,0.45,1.0,0.45,0.5
37,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
38,CNN,SimulatedTrainingData_Moving_RareFeature_Box_F_50_TS_50.npy,0.45,0.45,1.0,0.45,0.5
39,LSTM,SimulatedTrainingData_Moving_RareFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
40,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_CAR_F_50_TS_50.npy,0.99,0.99,1.0,0.98,0.9901960784313724
41,CNN,SimulatedTrainingData_Moving_RareFeature_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
42,LSTM,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_50_TS_50.npy,0.97,0.97,1.0,0.9473684210526316,0.9673913043478262
43,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
44,CNN,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
45,LSTM,SimulatedTrainingData_Moving_RareFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
46,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_NARMA_F_50_TS_50.npy,0.54,0.54,1.0,0.54,0.5
47,CNN,SimulatedTrainingData_Moving_RareFeature_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
48,LSTM,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_50_TS_50.npy,0.42,0.4199999999999999,0.9743589743589745,0.4,0.5199663724253888
49,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_50_TS_50.npy,0.39,0.39,1.0,0.39,0.5
50,CNN,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
51,LSTM,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_50_TS_50.npy,0.53,0.53,0.8163265306122449,0.5128205128205128,0.5356142456982793
52,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_50_TS_50.npy,0.95,0.95,0.9591836734693876,0.94,0.9501800720288116
53,CNN,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_50_TS_50.npy,0.9,0.9,0.9387755102040816,0.8679245283018868,0.9007603041216488
54,LSTM,SimulatedTrainingData_Moving_RareTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
55,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_CAR_F_50_TS_50.npy,0.48,0.48,0.0,0.0,0.5
56,CNN,SimulatedTrainingData_Moving_RareTime_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
57,LSTM,SimulatedTrainingData_Moving_RareTime_Harmonic_F_50_TS_50.npy,0.5,0.5,0.8367346938775511,0.4939759036144578,0.5066026410564226
58,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
59,CNN,SimulatedTrainingData_Moving_RareTime_Harmonic_F_50_TS_50.npy,0.99,0.99,1.0,0.98,0.9901960784313724
