,model,name,acc,f1,prec,rec,auc
0,LSTM,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.89,0.89,0.8888888888888888,0.9056603773584906,0.8900966183574879
1,LSTM_ATT,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.86,0.8599999999999999,0.8148148148148148,0.9166666666666666,0.8639291465378424
2,CNN,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.96,0.96,0.9444444444444444,0.9807692307692308,0.961352657004831
3,LSTM,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
4,LSTM_ATT,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
5,CNN,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
6,LSTM,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,0.62,0.62,1.0,0.6,0.5581395348837209
7,LSTM_ATT,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
8,CNN,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
9,LSTM,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,0.99,0.99,1.0,0.9807692307692307,0.9897959183673469
