,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.4666666666666667,0.5598229852815442,0.39416666666666667,DL,True,Saliency_PTY'>
1,True,0.43333333333333335,0.5049995256802224,0.3275,DL,True,Saliency_PTY'>
2,True,0.43333333333333335,0.6732425628082583,0.49249999999999994,DL,True,Saliency_PTY'>
3,True,0.5666666666666667,0.635387825152453,0.5008333333333334,DL,True,Saliency_PTY'>
4,True,0.4,0.5432342593892517,0.3766666666666666,DL,True,Saliency_PTY'>
5,True,0.36666666666666664,0.38507642710402007,0.2583333333333333,DL,True,Saliency_PTY'>
6,True,0.36666666666666664,0.48826582790847073,0.29,DL,True,Saliency_PTY'>
7,True,0.7,0.8184043683791378,0.7083333333333333,DL,True,Saliency_PTY'>
8,True,0.8333333333333334,0.9813000589642814,0.9041666666666667,DL,True,Saliency_PTY'>
9,True,0.4666666666666667,0.5035749477411969,0.3483333333333333,DL,True,Saliency_PTY'>
10,True,0.5666666666666667,0.6277031162779106,0.5166666666666666,DL,True,Saliency_PTY'>
11,True,0.43333333333333335,0.6156123404116467,0.4008333333333334,DL,True,Saliency_PTY'>
12,True,0.5,0.5911915546000792,0.5008333333333332,DL,True,Saliency_PTY'>
13,True,0.36666666666666664,0.43531537234675216,0.24916666666666668,DL,True,Saliency_PTY'>
14,True,0.36666666666666664,0.4306918739346839,0.24083333333333334,DL,True,Saliency_PTY'>
15,True,0.5666666666666667,0.5923417928183192,0.495,DL,True,Saliency_PTY'>
16,True,0.43333333333333335,0.6266532998259025,0.44083333333333335,DL,True,Saliency_PTY'>
17,True,0.6,0.5967843314631431,0.5133333333333333,DL,True,Saliency_PTY'>
18,True,0.43333333333333335,0.5157509114722146,0.3375,DL,True,Saliency_PTY'>
19,True,0.43333333333333335,0.46710689934135585,0.2941666666666667,DL,True,Saliency_PTY'>
