,Pointing,Relevance Rank,Relevance Mass,AuC,transformer,epochs,explanation
0,True,0.875,0.8450686433738823,0.7224999999999999,mutate_both,100,TSEvo'>
1,False,0.8,0.7572094584902314,0.39875000000000005,mutate_both,100,TSEvo'>
2,True,0.8,0.8047439144909762,0.495,mutate_both,100,TSEvo'>
3,True,0.8,0.8123723659008925,0.5025,mutate_both,100,TSEvo'>
4,True,0.8,0.8084912306239311,0.5137499999999999,mutate_both,100,TSEvo'>
5,False,0.8,0.7609072134693339,0.3725,mutate_both,100,TSEvo'>
6,True,0.825,0.8312284383571473,0.575,mutate_both,100,TSEvo'>
7,True,0.85,0.8213787087414699,0.565,mutate_both,100,TSEvo'>
8,True,0.825,0.8385364038728765,0.66625,mutate_both,100,TSEvo'>
9,False,0.75,0.7319472508035678,0.325,mutate_both,100,TSEvo'>
10,False,0.775,0.7107595081802148,0.23,mutate_both,100,TSEvo'>
11,False,0.775,0.7376980246561416,0.3075,mutate_both,100,TSEvo'>
12,True,0.775,0.7499772112354336,0.33999999999999997,mutate_both,100,TSEvo'>
13,True,0.875,0.8300178086979032,0.58125,mutate_both,100,TSEvo'>
14,True,0.825,0.8175758007394468,0.51875,mutate_both,100,TSEvo'>
15,True,0.775,0.7467492038990008,0.32,mutate_both,100,TSEvo'>
16,True,0.875,0.8647422942744211,0.75375,mutate_both,100,TSEvo'>
17,False,0.8,0.8092507932488447,0.5574999999999999,mutate_both,100,TSEvo'>
18,True,0.85,0.8395198244385035,0.595,mutate_both,100,TSEvo'>
19,True,0.85,0.8490106167432557,0.755,mutate_both,100,TSEvo'>
