,Pointing,Relevance Rank,Relevance Mass,AuC,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,0.3333333333333333,0.12460398921438119,0.5189393939393939,100,NG,dtw,500,1,NativeGuideCF'>
1,False,0.0,0.08556312364687964,0.3143939393939394,100,NG,dtw,500,1,NativeGuideCF'>
2,False,0.0,0.0910320641577192,0.34469696969696967,100,NG,dtw,500,1,NativeGuideCF'>
3,False,0.3333333333333333,0.19210761386143108,0.8674242424242425,100,NG,dtw,500,1,NativeGuideCF'>
4,False,0.0,0.13904571594099419,0.6439393939393939,100,NG,dtw,500,1,NativeGuideCF'>
5,True,0.5,0.1918261701848542,0.9204545454545454,100,NG,dtw,500,1,NativeGuideCF'>
6,False,0.0,0.015915044663202288,0.02651515151515151,100,NG,dtw,500,1,NativeGuideCF'>
7,False,0.0,0.15061443298225785,0.696969696969697,100,NG,dtw,500,1,NativeGuideCF'>
8,False,0.16666666666666666,0.08463811538614767,0.35227272727272724,100,NG,dtw,500,1,NativeGuideCF'>
9,False,0.0,0.1027793725601728,0.3977272727272727,100,NG,dtw,500,1,NativeGuideCF'>
10,False,0.0,0.0998924165059602,0.3712121212121212,100,NG,dtw,500,1,NativeGuideCF'>
11,False,0.0,0.0816991282668451,0.3371212121212121,100,NG,dtw,500,1,NativeGuideCF'>
12,True,0.3333333333333333,0.21874873176220092,0.865530303030303,100,NG,dtw,500,1,NativeGuideCF'>
13,False,0.0,0.08529295216027882,0.4015151515151515,100,NG,dtw,500,1,NativeGuideCF'>
14,False,0.0,0.08744483071728229,0.31439393939393934,100,NG,dtw,500,1,NativeGuideCF'>
15,False,0.0,0.13658853164992682,0.6022727272727273,100,NG,dtw,500,1,NativeGuideCF'>
16,True,0.6666666666666666,0.21182669245492522,0.9431818181818181,100,NG,dtw,500,1,NativeGuideCF'>
17,False,0.0,0.08508006127946337,0.25757575757575757,100,NG,dtw,500,1,NativeGuideCF'>
18,False,0.0,0.10274707309335264,0.4242424242424242,100,NG,dtw,500,1,NativeGuideCF'>
19,False,0.0,0.10913543017671717,0.48484848484848486,100,NG,dtw,500,1,NativeGuideCF'>
