,Pointing,Relevance Rank,Relevance Mass,AuC,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,,,,,1000,random,uniform,SHAP,10,1,LEFTIST'>
