,Pointing,Relevance Rank,Relevance Mass,AuC,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,False,0.775,0.0,0.25,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,True,0.775,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,False,0.775,0.0,0.25,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,False,0.75,0.0,0.25,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,True,0.8,1.0,0.5625,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,True,0.875,-0.0,0.75,1000,random,uniform,SHAP,10,1,LEFTIST'>
