,Pointing,Relevance Rank,Relevance Mass,AuC,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,True,0.7333333333333333,0.7021750877102866,0.7266666666666667,100,NG,dtw,500,1,NativeGuideCF'>
1,True,0.7666666666666667,0.7101224666745105,0.7666666666666666,100,NG,dtw,500,1,NativeGuideCF'>
2,True,0.5,0.4807965286816801,0.27083333333333337,100,NG,dtw,500,1,NativeGuideCF'>
3,True,0.6666666666666666,0.6534818292622346,0.6066666666666666,100,NG,dtw,500,1,NativeGuideCF'>
4,False,0.43333333333333335,0.48080333118700946,0.26583333333333337,100,NG,dtw,500,1,NativeGuideCF'>
5,False,0.4666666666666667,0.48482012001222446,0.25166666666666665,100,NG,dtw,500,1,NativeGuideCF'>
6,False,0.4666666666666667,0.42584401217124446,0.19166666666666662,100,NG,dtw,500,1,NativeGuideCF'>
7,False,0.5,0.47192854451898125,0.3225,100,NG,dtw,500,1,NativeGuideCF'>
8,False,0.5333333333333333,0.48364963782381765,0.31166666666666665,100,NG,dtw,500,1,NativeGuideCF'>
9,True,0.7666666666666667,0.7153892413426038,0.7866666666666667,100,NG,dtw,500,1,NativeGuideCF'>
10,True,0.7333333333333333,0.6663388525131091,0.6933333333333334,100,NG,dtw,500,1,NativeGuideCF'>
11,False,0.5666666666666667,0.548157148678944,0.4066666666666667,100,NG,dtw,500,1,NativeGuideCF'>
12,True,0.7333333333333333,0.6597011871230424,0.6933333333333334,100,NG,dtw,500,1,NativeGuideCF'>
13,False,0.5,0.48830406244968777,0.2866666666666667,100,NG,dtw,500,1,NativeGuideCF'>
14,False,0.4666666666666667,0.4352777505015713,0.22499999999999998,100,NG,dtw,500,1,NativeGuideCF'>
15,True,0.7333333333333333,0.6633133809560364,0.6658333333333333,100,NG,dtw,500,1,NativeGuideCF'>
16,False,0.5333333333333333,0.4709665134031205,0.2633333333333333,100,NG,dtw,500,1,NativeGuideCF'>
17,False,0.6333333333333333,0.611906833640264,0.5333333333333333,100,NG,dtw,500,1,NativeGuideCF'>
18,False,0.6,0.5680654594329693,0.45249999999999996,100,NG,dtw,500,1,NativeGuideCF'>
19,True,0.8,0.7302505361384317,0.84,100,NG,dtw,500,1,NativeGuideCF'>
