,Pointing,Relevance Rank,Relevance Mass,AuC,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,True,0.7,1.4137962760070302,0.7733333333333334,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,True,0.5333333333333333,0.6447835618745303,0.43833333333333335,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,True,0.6666666666666666,0.9471791559131503,0.6916666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,False,0.5333333333333333,0.4827146260767972,0.3383333333333334,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,True,0.7,1.1133482083805386,0.6699999999999999,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,True,0.7666666666666667,0.8222772749548286,0.81,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,False,0.36666666666666664,-0.391897607936304,0.19166666666666665,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,False,0.4666666666666667,0.4012757411435478,0.2866666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,False,0.3333333333333333,4.55619202575423,0.065,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,True,0.6333333333333333,0.8292464633226398,0.6416666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,True,0.8666666666666667,1.0665250113219416,0.9183333333333333,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,True,0.5666666666666667,0.6139418922290159,0.48833333333333334,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,True,0.7,1.2688451959499205,0.6716666666666666,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,True,0.5666666666666667,0.7004355802922898,0.52,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,False,0.6666666666666666,1.3325393413249775,0.5733333333333333,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,True,0.8666666666666667,1.2170688525586233,0.9116666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,True,0.8333333333333334,1.2127319924939763,0.8466666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,False,0.43333333333333335,0.4948902811450532,0.17666666666666667,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,True,0.5333333333333333,-1.1521445138846,0.37666666666666665,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
19,True,0.5666666666666667,0.6570094662092248,0.43666666666666665,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
