,Pointing,Relevance Rank,Relevance Mass,AuC,transformer,epochs,explanation
0,True,0.6666666666666666,0.6411268336571398,0.6191666666666666,authentic_opposing_information,100,TSEvo'>
1,True,0.7,0.6702593170003721,0.6725,authentic_opposing_information,100,TSEvo'>
2,False,0.5666666666666667,0.5504266845923187,0.41833333333333333,authentic_opposing_information,100,TSEvo'>
3,True,0.7,0.6491567605359173,0.64,authentic_opposing_information,100,TSEvo'>
4,False,0.6333333333333333,0.5578997310577145,0.435,authentic_opposing_information,100,TSEvo'>
5,False,0.6333333333333333,0.5734094756948653,0.46583333333333327,authentic_opposing_information,100,TSEvo'>
6,False,0.5666666666666667,0.5677121113111123,0.415,authentic_opposing_information,100,TSEvo'>
7,False,0.5666666666666667,0.5280832933380433,0.355,authentic_opposing_information,100,TSEvo'>
8,False,0.6666666666666666,0.6094407886318263,0.5008333333333332,authentic_opposing_information,100,TSEvo'>
9,True,0.7,0.6500190480673658,0.6191666666666666,authentic_opposing_information,100,TSEvo'>
10,True,0.6666666666666666,0.6526964097032855,0.65,authentic_opposing_information,100,TSEvo'>
11,False,0.5666666666666667,0.5592996804159837,0.4233333333333334,authentic_opposing_information,100,TSEvo'>
12,True,0.6333333333333333,0.6486940499980113,0.61,authentic_opposing_information,100,TSEvo'>
13,False,0.5666666666666667,0.5156533358897162,0.3533333333333333,authentic_opposing_information,100,TSEvo'>
14,True,0.6,0.5565719323920068,0.4158333333333333,authentic_opposing_information,100,TSEvo'>
15,True,0.8,0.722726923701702,0.7983333333333333,authentic_opposing_information,100,TSEvo'>
16,False,0.6,0.5176826048159529,0.3683333333333333,authentic_opposing_information,100,TSEvo'>
17,False,0.5666666666666667,0.5022382201931461,0.33666666666666667,authentic_opposing_information,100,TSEvo'>
18,False,0.5666666666666667,0.5667518784306944,0.44166666666666665,authentic_opposing_information,100,TSEvo'>
19,True,0.7,0.6569187951865972,0.655,authentic_opposing_information,100,TSEvo'>
