,Pointing,Relevance Rank,Relevance Mass,AuC,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,0.16666666666666666,0.14144570873327073,0.6666666666666667,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
1,False,0.16666666666666666,0.13512451042110132,0.6856060606060606,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
2,False,0.16666666666666666,0.07592036547767983,0.2954545454545454,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
3,True,0.16666666666666666,0.11009394668849391,0.40530303030303033,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
4,False,0.16666666666666666,0.10040438276350157,0.4810606060606061,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
5,False,0.16666666666666666,0.1320039998716225,0.6553030303030303,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
6,False,0.16666666666666666,0.11478094305831744,0.5,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
7,True,0.16666666666666666,0.12258213379511186,0.5113636363636364,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
8,False,0.16666666666666666,0.1380028176346585,0.6022727272727273,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
9,False,0.16666666666666666,0.12851678655668208,0.5757575757575758,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
10,True,0.6666666666666666,0.18891988823578015,0.9356060606060606,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
11,False,0.0,0.07943512795524832,0.32575757575757575,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
12,False,0.16666666666666666,0.12460010104943287,0.5492424242424243,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
13,False,0.16666666666666666,0.12687087658583435,0.6060606060606061,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
14,False,0.16666666666666666,0.09920516308229828,0.4015151515151515,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
15,True,0.16666666666666666,0.11085746246607343,0.46212121212121215,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
16,True,0.16666666666666666,0.12978796574928395,0.6193181818181819,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
17,False,0.16666666666666666,0.06160796129539559,0.23674242424242425,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
18,False,0.3333333333333333,0.1406709658847559,0.7007575757575757,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
19,True,0.3333333333333333,0.12926900205864927,0.6231060606060606,100,dtw_bary_center,dtw,500,1,NativeGuideCF'>
