,Pointing,Relevance Rank,Relevance Mass,AuC,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,True,0.2857142857142857,0.4,0.5297619047619047,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,True,0.35714285714285715,0.4,0.5297619047619047,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,True,0.35714285714285715,0.4,0.5297619047619047,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,True,0.5,1.0,0.6785714285714286,1000,random,uniform,SHAP,10,1,LEFTIST'>
