,model,name,acc,f1,prec,rec,auc
0,LSTM,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.979591836734694,0.9903846153846152
1,LSTM_ATT,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,0.99,0.99,1.0,0.979591836734694,0.9903846153846152
2,CNN,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
3,LSTM,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
4,LSTM_ATT,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
5,CNN,SimulatedTrainingData_Middle_Box_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
6,LSTM,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
7,LSTM_ATT,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
8,CNN,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
9,LSTM,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
10,LSTM_ATT,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
11,CNN,SimulatedTrainingData_Middle_Harmonic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
12,LSTM,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
13,LSTM_ATT,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
14,CNN,SimulatedTrainingData_Middle_NARMA_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
15,LSTM,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
16,LSTM_ATT,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
17,CNN,SimulatedTrainingData_Middle_PseudoPeriodic_F_50_TS_50.npy,1.0,1.0,1.0,1.0,1.0
18,LSTM,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_50_TS_50.npy,0.81,0.81,0.5777777777777777,1.0,0.7888888888888889
