,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,method,tsr,Datasets,Typ,Generation,models
0,,,,,SG,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
1,,,,,GS,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
2,,,,,IG,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
3,0.17306613520538897,0.23483061876387273,0.026511537724239795,0.032669998277647445,GRAD,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
4,0.21029914467372168,0.28726084959012954,0.040901400664854995,0.04967878945979896,SG,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
5,0.19922899922759468,0.2386985909269316,0.03851088106455767,0.031077784330936015,GS,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
6,0.2197411516624662,0.26060677725323533,0.035629927089915116,0.02761556389546863,IG,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
7,0.12004795458184395,0.16750186681919757,0.03569909264753758,0.051324653498541144,GRAD,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
8,0.26871490387883484,0.37441781895082976,0.045451545595246265,0.04449162725710373,SG,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
9,0.46044270748794885,0.5506051452564236,0.04845883818356935,0.05487135162633982,GS,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
10,0.18419202538523438,0.21294419896514913,0.03012924163263454,0.03451204578918771,IG,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
11,0.1811289026663213,0.21631888030250918,0.05619982119373963,0.06598260309941105,GRAD,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
12,0.13787825345473442,0.22049937334490669,0.025029300949933997,0.03555360871340903,SG,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
13,0.1982293698885476,0.2327273421212445,0.026458773365974134,0.016720760103356522,GS,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
14,0.22130829379948272,0.25556577102550726,0.032584308302113944,0.023717696741885744,IG,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
15,0.11095151758874237,0.23361489103223027,0.04615831101473742,0.08192160167588751,GRAD,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
16,0.4238258814617072,0.4930115132281937,0.03974386588668177,0.04922645901982732,SG,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
17,0.47281691698749817,0.5971379796289236,0.05924250281565549,0.06425415184651799,GS,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
18,0.1721933354754262,0.2273964136519985,0.03326653687718372,0.03740273620195795,IG,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
19,0.21696206381687078,0.28535623468911103,0.053242284617645325,0.053186771235896636,GRAD,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,CNN
20,0.09333233644823004,0.17878535621155073,0.014794374227798933,0.04507950881021371,SG,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
21,0.06165087234467463,0.07865137146690093,0.008175056588765823,0.008276162908705227,GS,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
22,0.06586425291201455,0.08224571195572816,0.005757359762349044,0.006307542835239305,IG,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
23,0.016014427523292026,0.026867930880159784,0.003860215089798671,0.005921284328628998,GRAD,False,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
24,0.2956953591605648,0.45453272164148795,0.07984757259954757,0.07066829043420608,SG,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
25,0.5146446558380517,0.5892348552820355,0.04017867931794362,0.053335884849217405,GS,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
26,0.06620095522593132,0.08187575549640871,0.01197621548806793,0.014419085642666194,IG,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
27,0.07663986230372632,0.09810456597299681,0.016490863717686793,0.015363617281623138,GRAD,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
28,0.21091984974101835,0.268546366251626,0.0386142652667469,0.04517781523092532,SG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
29,0.15346231155838702,0.17589049365841014,0.0181503020833711,0.02102165890183329,GS,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
30,0.16996493856572337,0.18846605253505205,0.013072133820762877,0.013354904568399635,IG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
31,0.07113989697406546,0.1075646991610976,0.028620467917410932,0.048734904983936136,GRAD,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
32,0.33586965546598757,0.45279189779521173,0.047170247152148785,0.057110737894651716,SG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
33,0.4735198092550138,0.5861736019972269,0.09272686791457305,0.09957717222038327,GS,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
34,0.13485995696065273,0.16972750033149847,0.0453788311338827,0.05285480243558077,IG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
35,0.19535692794988185,0.2459663763739782,0.04248085077880152,0.054255004296642734,GRAD,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
36,0.23957153814837703,0.31102564821448175,0.03122856688523237,0.052360573336756915,SG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
37,0.17620295519373133,0.23411222332748816,0.05434414226583565,0.04643496880028901,GS,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
38,0.17437716955738145,0.24126432221004174,0.04874610360511367,0.038600672895374055,IG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
39,0.13510762104420268,0.2057052503662386,0.08665565805975445,0.1203939871301342,GRAD,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
40,0.2818591157234786,0.4875094637411653,0.11423609740613916,0.09618206455474271,SG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
41,0.20854722353641275,0.6269317331522206,0.1746718185386939,0.36637764266226824,GS,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
42,0.2051907346593307,0.37657825199003636,0.09328928857915311,0.16371456321197556,IG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
43,0.12250016528694829,0.1831172914637746,0.06407251888152389,0.09477957435276277,GRAD,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
44,0.22738722485884527,0.33032522356256033,0.03123397860805332,0.039176302600973,SG,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
45,0.08636708527935309,0.22685923793649138,0.06886215000316898,0.054913698491999834,GS,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
46,0.1830325434027547,0.27277136832826715,0.03289224212077499,0.02824045012929896,IG,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
47,0.0010140582526927317,0.009527769965217831,0.004534990324359749,0.04260944806104928,GRAD,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
48,0.209463222337892,0.6966793980733852,0.03759677916586209,0.25914567272419026,SG,True,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
49,0.1152702288465606,0.47231758430908244,0.051853314824666076,0.5354798273399856,GS,True,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
