,monoton_synthetic_mean,faithfulness_correlation_synthetic_flex_mean,monoton_synthetic_std,faithfulness_correlation_synthetic_flex_std,transformer,epochs,Datasets,Typ,Generation,models,faithfulness_correlation_synthtic_flex_mean,faithfulness_correlation_synthtic_flex_std,method,tsr
0,1.0,-0.04345090160151812,0.0,0.12840021362365472,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,,
1,1.0,,0.0,,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,FO,False
2,1.0,-0.052367373062092305,0.0,0.22581968682821413,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,SG,False
3,1.0,-0.04275574508427167,0.0,0.14558594286163534,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,GS,False
4,1.0,-0.0023412130645284737,0.0,0.17072872103103062,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,IG,False
5,1.0,0.01594862882255807,0.0,0.23347931147650436,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,GRAD,False
6,1.0,,0.0,,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,FO,True
7,1.0,-0.022452834561311426,0.0,0.11591866792550229,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,SG,True
8,1.0,-0.018594406499733245,0.0,0.11049704875616752,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,GS,True
9,1.0,0.012058246297862969,0.0,0.13442327617349095,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,IG,True
10,1.0,0.01165974626762988,0.0,0.15566200581470244,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,,GRAD,True
11,1.0,-0.03714441054635287,0.0,0.16952225683510766,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,,
12,1.0,0.1973603095336191,0.0,0.1355941625855534,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,FO,False
13,1.0,0.08677812229707536,0.0,0.2194780372627688,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,SG,False
14,1.0,0.13628989940254926,0.0,0.21583542696844293,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,GS,False
15,1.0,0.06124712120148471,0.0,0.1697546624323358,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,IG,False
16,1.0,0.11940573241320399,0.0,0.13175082234729527,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN,,,GRAD,False
