,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,method,tsr,Datasets,Typ,Generation,models
0,0.3296588194105521,0.39497286948997407,0.06687101302247198,0.08218292940873462,GRAD,True,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,CNN
1,0.07039864980250676,0.09706846119535531,0.01741261301176458,0.022618310211728575,SG,False,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
2,0.06188250619523493,0.0813285494320592,0.008413253680357615,0.00715505258583147,GS,False,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
3,0.06744520615135538,0.0867880108628078,0.00670920774631996,0.007916267587210882,IG,False,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
4,0.016140772391839746,0.022138820989010308,0.004234098805459971,0.005407719792025545,GRAD,False,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
5,0.2864535806195238,0.41040808658553596,0.05266411209736194,0.05747154603356448,SG,True,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
6,0.5039344590821894,0.5857039731201837,0.04870282081470206,0.05413299450228053,GS,True,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
7,0.07124478028362316,0.08684760280040207,0.014216776320890799,0.013465718635208372,IG,True,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
8,0.09379576287231597,0.11000169772020026,0.014578151565840261,0.013977718641663191,GRAD,True,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
9,0.20876817890378313,0.29120636572754915,0.03125440533393178,0.03906904480685123,SG,False,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
10,0.19634698511768364,0.24182487484424842,0.03753640254045161,0.03599366575689124,GS,False,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
11,0.2146538084107279,0.2500569994628679,0.04508594951856058,0.03988449804412323,IG,False,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
12,0.14215099130467704,0.22780419029583515,0.05645444173641301,0.08611800958301122,GRAD,False,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
13,0.42609464603632546,0.48973066649431096,0.029807256480577336,0.032178599251532276,SG,True,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
14,0.4514028418020456,0.5416543139162038,0.05579338312923005,0.06949494712748773,GS,True,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
15,0.2867805869938323,0.34428730100248917,0.05476475947132392,0.06964713749411265,IG,True,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
16,0.35148418378053853,0.424794810162859,0.07489630696928609,0.08333932175005464,GRAD,True,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
17,0.14225737850974457,0.21523290704196402,0.0405091773709589,0.05109110970693466,SG,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
18,0.16689442969232482,0.20617037094366397,0.024150571154645802,0.030670039585187242,GS,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
19,0.17373245991150565,0.22823744056769266,0.02263346642558206,0.03117347914516749,IG,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
20,0.1498862149658683,0.2470460500246133,0.10543652032972892,0.14071988386576487,GRAD,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_50_TS_50.npy,SmallMiddle,AutoRegressive,CNN
21,0.16530298400555718,0.22238336388795657,0.018621698269166938,0.040671983343886414,SG,False,SimulatedTrainingData_SmallMiddle_NARMA_F_50_TS_50.npy,SmallMiddle,NARMA,LSTM
