,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr
0,0.35,0.0673469387755102,0.06129133859880067,0.37563055821286845,0.48936048492959294,0.04627798077763801,0.00936626222129596,0.06217866063499861,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,
1,0.1,0.07423469387755102,0.17791666666666667,,0.30779350562554625,0.011405507454651959,0.14436763449225345,,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,FO,False
2,0.1,0.045408163265306126,0.0575228264160069,0.5253411325467686,0.30779350562554625,0.05952022903660222,0.036308304060198644,0.07718723080274335,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,SG,False
3,0.05,0.06556122448979593,0.06767470422615957,0.5166113059807256,0.22360679774997894,0.048607694581776814,0.0345801302409404,0.07047566333674034,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,GS,False
4,0.0,0.055102040816326525,0.05895621924442955,0.5153980211876417,0.0,0.0575470970926202,0.04194138479950499,0.08798238289706177,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,IG,False
5,0.0,0.0,0.01274362045257626,0.3770625177154195,0.0,0.0,0.018281498908449455,0.07910417451899936,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,GRAD,False
6,0.0,0.06709183673469386,0.01605687771600646,,0.0,0.016157404762698974,0.014916993451222707,,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,FO,True
7,0.05,0.08826530612244896,0.08289536878315097,0.5031874468537414,0.22360679774997894,0.05229608210395891,0.0444333987066966,0.07538862934756888,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,SG,True
8,0.1,0.0711734693877551,0.07543850322479428,0.49659515173256796,0.30779350562554625,0.047241209173641274,0.1765511150662572,0.0749796890563549,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,GS,True
9,0.1,0.08877551020408163,0.12409844503527197,0.5245668579931974,0.30779350562554625,0.08574816475359312,0.17948935310952302,0.13704568808325646,,,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,IG,True
