,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.720661832727013,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,3.688533386452678,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,3.725872957060237,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,3.7002547276100675,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,3.7308763710596136,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,3.7253788196519606,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,3.7070298917128857,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,3.6240097403148956,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,3.647462028646449,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,3.6501677575934552,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,3.6946091935093803,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,3.7287987051464486,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,3.6550069679212,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,3.7309600720434566,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,3.67428498505645,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,3.652710586583235,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,3.743401663397528,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,3.7535455615482016,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,3.7246426520170064,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
19,3.7434933610458017,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
