,complexity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,3.808041612221984,50,NG,dtw,500,1,NativeGuideCF'>
1,3.8508583467050737,50,NG,dtw,500,1,NativeGuideCF'>
2,3.8371227835872666,50,NG,dtw,500,1,NativeGuideCF'>
3,3.8366482087207934,50,NG,dtw,500,1,NativeGuideCF'>
4,3.844621415759109,50,NG,dtw,500,1,NativeGuideCF'>
5,3.8599791530266923,50,NG,dtw,500,1,NativeGuideCF'>
6,3.82638131884383,50,NG,dtw,500,1,NativeGuideCF'>
7,3.8563525306375257,50,NG,dtw,500,1,NativeGuideCF'>
8,3.8315383929156286,50,NG,dtw,500,1,NativeGuideCF'>
9,3.8426906717672282,50,NG,dtw,500,1,NativeGuideCF'>
10,3.8489998289471132,50,NG,dtw,500,1,NativeGuideCF'>
11,3.864984030143658,50,NG,dtw,500,1,NativeGuideCF'>
12,3.8604409782316895,50,NG,dtw,500,1,NativeGuideCF'>
13,3.845842190587632,50,NG,dtw,500,1,NativeGuideCF'>
14,3.8508583467050737,50,NG,dtw,500,1,NativeGuideCF'>
15,3.85045346933834,50,NG,dtw,500,1,NativeGuideCF'>
16,3.825958786937068,50,NG,dtw,500,1,NativeGuideCF'>
17,3.8604409782316895,50,NG,dtw,500,1,NativeGuideCF'>
18,3.8101577533031437,50,NG,dtw,500,1,NativeGuideCF'>
19,3.8315383929156286,50,NG,dtw,500,1,NativeGuideCF'>
