,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,-0.15676631173022443,IG,True,Saliency_PTY'>
1,True,-0.05308665709855408,IG,True,Saliency_PTY'>
2,True,0.11038066419162929,IG,True,Saliency_PTY'>
3,True,-0.1103349069478231,IG,True,Saliency_PTY'>
4,True,0.12880708937423338,IG,True,Saliency_PTY'>
5,True,-0.3149968150800255,IG,True,Saliency_PTY'>
6,True,0.08441059397086073,IG,True,Saliency_PTY'>
7,True,-0.04179736164754087,IG,True,Saliency_PTY'>
8,True,-0.0821052378637096,IG,True,Saliency_PTY'>
9,True,0.15529979799126212,IG,True,Saliency_PTY'>
10,True,-0.0008310418944845605,IG,True,Saliency_PTY'>
11,True,-5.640755043203726e-05,IG,True,Saliency_PTY'>
12,True,0.10898563906989994,IG,True,Saliency_PTY'>
13,True,-0.008735275720232891,IG,True,Saliency_PTY'>
14,True,0.01378072059062499,IG,True,Saliency_PTY'>
15,True,0.04027899216510661,IG,True,Saliency_PTY'>
16,True,-0.06107738586694115,IG,True,Saliency_PTY'>
17,True,-0.06757465991077735,IG,True,Saliency_PTY'>
18,True,-0.3729090755031594,IG,True,Saliency_PTY'>
19,True,-0.15204604938884503,IG,True,Saliency_PTY'>
