,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,,authentic_opposing_information,100,TSEvo'>
1,True,0.1094077311618782,authentic_opposing_information,100,TSEvo'>
2,True,0.05164820129803879,authentic_opposing_information,100,TSEvo'>
3,True,,authentic_opposing_information,100,TSEvo'>
4,True,0.33942373593246516,authentic_opposing_information,100,TSEvo'>
5,True,0.17873254264712995,authentic_opposing_information,100,TSEvo'>
6,True,-0.15031908960612025,authentic_opposing_information,100,TSEvo'>
7,True,,authentic_opposing_information,100,TSEvo'>
8,True,0.1687210893795235,authentic_opposing_information,100,TSEvo'>
9,True,0.054744582596682904,authentic_opposing_information,100,TSEvo'>
10,True,0.22491179154153298,authentic_opposing_information,100,TSEvo'>
11,True,,authentic_opposing_information,100,TSEvo'>
12,True,0.18554133457309188,authentic_opposing_information,100,TSEvo'>
13,True,0.12936360106110747,authentic_opposing_information,100,TSEvo'>
14,True,,authentic_opposing_information,100,TSEvo'>
15,True,,authentic_opposing_information,100,TSEvo'>
16,True,0.05132685140643565,authentic_opposing_information,100,TSEvo'>
17,True,0.1252826059595563,authentic_opposing_information,100,TSEvo'>
18,True,,authentic_opposing_information,100,TSEvo'>
19,True,,authentic_opposing_information,100,TSEvo'>
