,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
1,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
2,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
3,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
4,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
5,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
6,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
7,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
8,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
9,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
10,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
11,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
12,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
13,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
14,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
15,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
16,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
17,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
18,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
19,,,,,,,,,,authentic_opposing_information,100,TSEvo'>
