,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,False,-0.12213257435987487,True,0.46473540595819973,True,0.2687273294552751,authentic_opposing_information,100,TSEvo'>
1,False,0.06573096814615695,True,-0.1416916583083814,True,-0.07938132981362382,authentic_opposing_information,100,TSEvo'>
2,False,-0.01031840538469253,True,0.4725017238751773,True,-0.10452964640658842,authentic_opposing_information,100,TSEvo'>
3,False,0.11611649328390444,True,0.2382131741958428,True,0.049945358602720175,authentic_opposing_information,100,TSEvo'>
4,False,-0.2144069864927528,True,-0.32918637661551026,True,0.0012706610522100563,authentic_opposing_information,100,TSEvo'>
5,False,0.0630605145176605,True,0.3077752270337552,True,0.3822638121283799,authentic_opposing_information,100,TSEvo'>
6,False,0.028645546191168318,True,0.25497332764208874,True,-0.26964567308239706,authentic_opposing_information,100,TSEvo'>
7,False,0.08487044478814099,True,0.1578639595621985,True,0.2368299202561145,authentic_opposing_information,100,TSEvo'>
8,False,0.18635973917475293,True,-0.16003044151635948,True,-0.042990534253825964,authentic_opposing_information,100,TSEvo'>
9,False,-0.16705889784266534,True,0.010961494495858475,True,-0.020373795699974575,authentic_opposing_information,100,TSEvo'>
10,False,-0.0713869699546044,True,-0.21276897179739887,True,-0.5644698547931166,authentic_opposing_information,100,TSEvo'>
11,False,-0.07430739333210185,True,0.5084664466623781,True,0.3358231268816876,authentic_opposing_information,100,TSEvo'>
12,False,0.16130581215918716,True,0.4372553038768604,True,0.3512808701358006,authentic_opposing_information,100,TSEvo'>
13,False,0.02033805314483226,True,-0.29813020915709165,True,0.2070747453082355,authentic_opposing_information,100,TSEvo'>
14,False,-0.00016282281967516105,True,0.2732123442397398,True,-0.11716346396689496,authentic_opposing_information,100,TSEvo'>
15,False,0.05578405469699817,True,0.44676777441572846,True,0.3083239463434169,authentic_opposing_information,100,TSEvo'>
16,False,-0.3000124332605875,True,-0.11747715434388525,True,-0.4678449790484438,authentic_opposing_information,100,TSEvo'>
17,False,0.09911938417700936,True,-0.11641853717753149,True,-0.3163211902933944,authentic_opposing_information,100,TSEvo'>
18,False,-0.10442138552845476,True,-0.3684218217693751,True,-0.12107081843306494,authentic_opposing_information,100,TSEvo'>
19,False,0.06712209264466754,True,-0.14719263258410098,True,0.027515944234285945,authentic_opposing_information,100,TSEvo'>
