,Pointing,Relevance Rank,Relevance Mass,AuC,transformer,epochs,explanation
0,True,0.8133333333333334,0.48871838588439953,0.9312711805555555,authentic_opposing_information,100,TSEvo'>
1,True,0.0077777777777777776,0.13811109559110765,0.068875,authentic_opposing_information,100,TSEvo'>
2,True,0.8066666666666666,0.48881462449978547,0.9261843750000001,authentic_opposing_information,100,TSEvo'>
3,True,0.7877777777777778,0.4828148269026954,0.9151163194444445,authentic_opposing_information,100,TSEvo'>
4,True,0.7888888888888889,0.4832523413147313,0.919096875,authentic_opposing_information,100,TSEvo'>
5,True,0.011111111111111112,0.13521119239769297,0.06652465277777778,authentic_opposing_information,100,TSEvo'>
6,True,0.0044444444444444444,0.11867639456610082,0.05214895833333334,authentic_opposing_information,100,TSEvo'>
7,True,0.8088888888888889,0.48660065374207506,0.9243298611111112,authentic_opposing_information,100,TSEvo'>
8,False,0.006666666666666667,0.11987072066822456,0.05701215277777778,authentic_opposing_information,100,TSEvo'>
9,True,0.025555555555555557,0.14872905985604848,0.08832013888888887,authentic_opposing_information,100,TSEvo'>
10,False,0.005555555555555556,0.12600466121119872,0.059789236111111116,authentic_opposing_information,100,TSEvo'>
11,True,0.8111111111111111,0.49371589424938483,0.9266545138888889,authentic_opposing_information,100,TSEvo'>
12,True,0.7855555555555556,0.47907546680504276,0.9123152777777778,authentic_opposing_information,100,TSEvo'>
13,True,0.82,0.48774811496206466,0.931129513888889,authentic_opposing_information,100,TSEvo'>
14,True,0.7722222222222223,0.48259128348946506,0.9066642361111112,authentic_opposing_information,100,TSEvo'>
15,False,0.0033333333333333335,0.1384506152677593,0.06605486111111111,authentic_opposing_information,100,TSEvo'>
16,False,0.006666666666666667,0.1301667003925672,0.06368680555555556,authentic_opposing_information,100,TSEvo'>
17,False,0.008888888888888889,0.13952380642188256,0.06887013888888889,authentic_opposing_information,100,TSEvo'>
18,False,0.0077777777777777776,0.12413242593209188,0.053157291666666676,authentic_opposing_information,100,TSEvo'>
19,False,0.0077777777777777776,0.13714444257418093,0.06287395833333334,authentic_opposing_information,100,TSEvo'>
