,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,0.14418133414591686,True,0.4950502242696617,True,-0.7595775413292132,GS,False,Saliency_PTY'>
1,False,-0.12033793727505787,True,-0.18951624867158048,True,0.7324879607723022,GS,False,Saliency_PTY'>
2,False,0.06759824885733318,True,-0.06770212382884477,True,0.7045647497529043,GS,False,Saliency_PTY'>
3,False,0.3434731346926001,True,0.23325339283942167,True,0.8548179510788951,GS,False,Saliency_PTY'>
4,False,0.7682013339394198,True,0.9494586913362312,True,-0.5936477980324703,GS,False,Saliency_PTY'>
5,False,0.28952180637953895,True,0.47731361819955764,True,0.7766970587093787,GS,False,Saliency_PTY'>
6,False,0.6969190791210118,True,0.9536081495672839,True,0.6302305035197623,GS,False,Saliency_PTY'>
7,False,0.4976644439202709,True,0.8371423095120909,True,-0.7250140297081301,GS,False,Saliency_PTY'>
8,False,0.37615714444928844,True,0.8169403736055442,True,0.7867673844669765,GS,False,Saliency_PTY'>
9,False,0.521355352553097,True,0.8248510194954981,True,0.9321568210092224,GS,False,Saliency_PTY'>
10,False,-0.2897658220681137,True,-0.45855638684325745,True,-0.8964992892187207,GS,False,Saliency_PTY'>
11,False,-0.08600440706481065,True,-0.605618923209758,True,0.675149664797565,GS,False,Saliency_PTY'>
12,False,-0.3364876193368007,True,-0.7203988845951887,True,-0.8799435750491232,GS,False,Saliency_PTY'>
13,False,-0.7322556031115437,True,-0.7240659431195349,True,-0.7456251052882094,GS,False,Saliency_PTY'>
14,False,0.5564974310892719,True,0.656691548039473,True,-0.7462943891815007,GS,False,Saliency_PTY'>
15,False,-0.11336440373250413,True,-0.9052128202384248,True,-0.9094679981454764,GS,False,Saliency_PTY'>
16,False,0.0413339878485704,True,-0.483694621397683,True,0.7682250786586577,GS,False,Saliency_PTY'>
17,False,0.6762443752107489,True,0.886851439153758,True,-0.5083404351607924,GS,False,Saliency_PTY'>
18,False,-0.04593778915335442,True,0.1653191423660995,True,-0.7523340166958358,GS,False,Saliency_PTY'>
19,False,-0.1509158041711422,True,0.006889013455056752,True,-0.9077769777568662,GS,False,Saliency_PTY'>
