,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,False,0.17439063162638407,True,-0.0017592712827333384,True,0.07300655299137798,mutate_both,100,TSEvo'>
1,False,0.13270430762319418,True,0.0964174081724558,True,0.19251112728053968,mutate_both,100,TSEvo'>
2,False,-0.06627030289184158,True,-0.08099259538856494,True,0.187335142088913,mutate_both,100,TSEvo'>
3,False,-0.03886198333009364,True,0.13564849673857754,True,0.0368548799578926,mutate_both,100,TSEvo'>
4,False,-0.18933082903627124,True,-0.07326624697811085,True,-0.12996539629033382,mutate_both,100,TSEvo'>
5,False,-0.08911969099826328,True,0.12609571230037062,True,0.045715170847896204,mutate_both,100,TSEvo'>
6,False,-0.07107050455220261,True,-0.3267251214447567,True,0.21687597951688078,mutate_both,100,TSEvo'>
7,False,-0.006905917688027797,True,-0.12408159987002161,True,0.004774943813592235,mutate_both,100,TSEvo'>
8,False,-0.15337988193726,True,-0.3562081062776689,True,0.012339902661362175,mutate_both,100,TSEvo'>
9,False,0.026093522459306732,True,0.09150520824817328,True,0.29830944215047306,mutate_both,100,TSEvo'>
10,False,-0.05531391225154273,True,0.028528658325549804,True,0.05428347984397643,mutate_both,100,TSEvo'>
11,False,0.06205152486648437,True,-0.07638277099386813,True,-0.23195262304756775,mutate_both,100,TSEvo'>
12,False,0.2339732234409457,True,0.5105561458432112,True,-0.029286902400542873,mutate_both,100,TSEvo'>
13,False,-0.21555538125936388,True,-0.04981768181474206,True,0.2074278821853143,mutate_both,100,TSEvo'>
14,False,0.08391473253913473,True,0.2174030880949532,True,0.08924134714719752,mutate_both,100,TSEvo'>
15,False,0.18041445812676735,True,0.06976701745214406,True,0.0048754315618448184,mutate_both,100,TSEvo'>
16,False,-0.09289322619744986,True,0.06663499919347947,True,-0.03290732963811179,mutate_both,100,TSEvo'>
17,False,-0.04742829733077136,True,-0.11256335146313216,True,0.10480461463528723,mutate_both,100,TSEvo'>
18,False,0.219904246670667,True,0.2313087597007782,True,-0.021858795407164035,mutate_both,100,TSEvo'>
19,False,-0.05930646955808796,True,-0.22775355873344771,True,-0.22816929256807936,mutate_both,100,TSEvo'>
