,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,0.021679411839187514,True,-0.10337895930767875,True,-0.028884152733783475,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,False,-0.054772906506295335,True,0.024703788324424034,True,0.07470266688921773,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,False,-0.15209513890914525,True,-0.013551352027240096,True,-0.02577868267213642,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,False,0.10238086230276476,True,0.17617953341939838,True,-0.06818717028363214,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,False,0.13382316402246533,True,0.02989968749884115,True,-0.04942345292953402,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,False,-0.023084319885852855,True,-0.1590519620419223,True,-0.05703644728879912,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,False,0.04811245890736673,True,-0.12564430887999561,True,-0.07061260585361268,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,False,-0.12996314533672956,True,-0.08331478037696699,True,0.16917572795968666,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,False,0.10758170743694193,True,0.26311187961220145,True,-0.09979213452556042,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,False,-0.09153903108800183,True,-0.025342444046969007,True,-0.1920711879295857,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,False,0.01290003038556251,True,-0.032453823077291,True,0.11821305123208453,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,False,-0.0915191098948035,True,-0.04661104159758057,True,0.11360317087287983,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
