,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,-0.009249625094039142,True,-0.024824842619726787,True,-0.015192959669675897,GRAD,True,Saliency_PTY'>
1,False,-0.04602467655505448,True,0.01484032240072187,True,0.0933931000805997,GRAD,True,Saliency_PTY'>
2,False,0.18110346726772145,True,0.04152179948453412,True,0.05226336093862916,GRAD,True,Saliency_PTY'>
3,False,0.021515187991481662,True,-0.12765638716502803,True,0.11812791915907586,GRAD,True,Saliency_PTY'>
4,False,-0.19002976153459283,True,-0.2784821570905304,True,0.08533909146148094,GRAD,True,Saliency_PTY'>
5,False,0.027915199783260156,True,0.09740701083773975,True,-0.058695760034066034,GRAD,True,Saliency_PTY'>
6,False,-0.06300161235991195,True,0.0035159193018584837,True,0.056893684628248085,GRAD,True,Saliency_PTY'>
7,False,0.11226539192332105,True,-0.215380576845394,True,0.08160804125410387,GRAD,True,Saliency_PTY'>
8,False,0.16914055069114173,True,-0.009795936181750139,True,-0.08445146775812751,GRAD,True,Saliency_PTY'>
9,False,0.08798715285085058,True,-0.043281039485704734,True,0.01572406058726118,GRAD,True,Saliency_PTY'>
10,False,0.17871239956685775,True,-0.0826757214883803,True,0.11169293341187547,GRAD,True,Saliency_PTY'>
11,False,-0.07513706297014819,True,-0.037651268313947335,True,0.013491505857814374,GRAD,True,Saliency_PTY'>
12,False,-0.011915375124533277,True,0.0292904793399199,True,0.08699386659634929,GRAD,True,Saliency_PTY'>
13,False,0.0061910141396360925,True,0.17305920197534708,True,0.1089407319343091,GRAD,True,Saliency_PTY'>
14,False,0.20137406876076813,True,0.14736667258989725,True,0.20525432119601827,GRAD,True,Saliency_PTY'>
15,False,-0.13720057265521962,True,0.041383799344103876,True,-0.1937910733852241,GRAD,True,Saliency_PTY'>
16,False,-0.024337529349295936,True,0.06421160855191406,True,-0.06499580380477261,GRAD,True,Saliency_PTY'>
17,False,0.0017382668286678024,True,0.11535592157502002,True,0.01045432549838963,GRAD,True,Saliency_PTY'>
18,False,0.014388613054713676,True,-0.1420204313604997,True,-0.00725503867999822,GRAD,True,Saliency_PTY'>
19,False,0.1860523934419354,True,0.10953230770374098,True,-0.07303350383851348,GRAD,True,Saliency_PTY'>
