,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,-0.08866908355476806,True,-0.14332635548710432,True,0.15508456642839744,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,False,-0.26429577229282286,True,-0.2977679206847861,True,-0.16023612738406678,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,False,0.24793235848980513,True,0.1266876307448268,True,-0.06225347114877236,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,False,-0.004492732038334369,True,0.36351240020609116,True,0.058789313709848065,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,False,-0.05526459009817927,True,0.03007760275149851,True,0.03942498979930266,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,False,0.10536732436084968,True,0.051872070062624814,True,0.11715202688500254,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,False,0.05335666442688533,True,-0.020489318425179107,True,-0.06917037422203567,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,False,-0.13337691943726407,True,-0.22935622848779036,True,-0.25206351955608797,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,False,-0.02709543550911211,True,0.060907422810816736,True,-0.028825203937097813,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,False,0.08694860726407676,True,0.1977618776703604,True,0.1016287880889922,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,False,0.0006585646188204605,True,-0.05900530743098572,True,-0.0739930772697243,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,False,-0.20276613123605228,True,-0.14153094809485312,True,-0.1789879747589036,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,False,-0.0350187443027777,True,0.0008858231737980168,True,0.1043776649046241,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,False,0.06288609656831201,True,-0.016170674327600932,True,-0.10448026444862793,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,False,-0.0840761612477166,True,0.05072838261065951,True,-0.22675362049097056,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,False,-0.18284631473769036,True,-0.04661563032112137,True,-0.08736537856123548,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,False,0.039700024646991426,True,0.20181697193957182,True,0.18977382678107452,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,False,0.10148482139807224,True,0.2002007650873015,True,0.17031327629382584,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,False,-0.35422433993188346,True,-0.18182606644608157,True,-0.3007993087737778,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
19,False,0.02057165225674846,True,-0.012874146522497043,True,0.07351375610887184,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
