,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,-0.17211049108333124,True,-0.3287898730861756,True,0.4342125038586587,1000,random,uniform,Lime,10,1,LEFTIST'>
1,False,0.4553729239947752,True,0.39397172822748056,True,0.5765851163532831,1000,random,uniform,Lime,10,1,LEFTIST'>
2,False,0.001318064359701416,True,0.06529550351407275,True,-0.048543392556831225,1000,random,uniform,Lime,10,1,LEFTIST'>
3,False,-0.16718937268054576,True,-0.14058728712576887,True,-0.6043700254824947,1000,random,uniform,Lime,10,1,LEFTIST'>
4,False,0.003837788179689999,True,0.1401535347284178,True,-0.24008634539942642,1000,random,uniform,Lime,10,1,LEFTIST'>
5,False,0.2865835118375845,True,0.43671752871249137,True,-0.48030503286870385,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,-0.1032354872514148,True,-0.22909817480726063,True,0.1483809568961398,1000,random,uniform,Lime,10,1,LEFTIST'>
7,False,0.3914752141829552,True,0.5524449514558133,True,0.6588038381777869,1000,random,uniform,Lime,10,1,LEFTIST'>
8,False,-0.19148429342804313,True,-0.10235885056247583,True,-0.15670622260924175,1000,random,uniform,Lime,10,1,LEFTIST'>
9,False,0.05563963685705584,True,-0.3216917542098306,True,-0.2942421403779246,1000,random,uniform,Lime,10,1,LEFTIST'>
10,False,-0.06287187703339854,True,-0.11004631445035845,True,0.07975963501459399,1000,random,uniform,Lime,10,1,LEFTIST'>
11,False,-0.06269291711869078,True,-0.1946731362765281,True,-0.06696208288190421,1000,random,uniform,Lime,10,1,LEFTIST'>
12,False,0.09830676408109633,True,0.5414718816670697,True,-0.33505373821832546,1000,random,uniform,Lime,10,1,LEFTIST'>
13,False,0.01746618249469138,True,0.030755067601189685,True,0.030933172030492728,1000,random,uniform,Lime,10,1,LEFTIST'>
14,False,-0.07637935155078908,True,-0.03286144453389788,True,-0.03760971442528353,1000,random,uniform,Lime,10,1,LEFTIST'>
15,False,-0.057033333346048924,True,0.5548916813012943,True,-0.5088406070998193,1000,random,uniform,Lime,10,1,LEFTIST'>
16,False,0.3406338966677462,True,0.413696901936392,True,-0.5562355404636036,1000,random,uniform,Lime,10,1,LEFTIST'>
17,False,0.00755517644624932,True,-0.13611613360600217,True,-0.11300143333950462,1000,random,uniform,Lime,10,1,LEFTIST'>
18,False,-0.090086491130773,True,-0.0619338377643986,True,0.6978010655517247,1000,random,uniform,Lime,10,1,LEFTIST'>
19,False,0.24389837632813843,True,0.5264357012276389,True,-0.42710214464308244,1000,random,uniform,Lime,10,1,LEFTIST'>
