,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthtic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,,,,,,,GS,False,Saliency_PTY'>
1,,,,,,,GS,False,Saliency_PTY'>
2,,,,,,,GS,False,Saliency_PTY'>
3,,,,,,,GS,False,Saliency_PTY'>
4,,,,,,,GS,False,Saliency_PTY'>
5,,,,,,,GS,False,Saliency_PTY'>
6,,,,,,,GS,False,Saliency_PTY'>
7,,,,,,,GS,False,Saliency_PTY'>
8,,,,,,,GS,False,Saliency_PTY'>
9,,,,,,,GS,False,Saliency_PTY'>
10,,,,,,,GS,False,Saliency_PTY'>
11,,,,,,,GS,False,Saliency_PTY'>
12,,,,,,,GS,False,Saliency_PTY'>
13,,,,,,,GS,False,Saliency_PTY'>
14,,,,,,,GS,False,Saliency_PTY'>
15,,,,,,,GS,False,Saliency_PTY'>
16,,,,,,,GS,False,Saliency_PTY'>
17,,,,,,,GS,False,Saliency_PTY'>
18,,,,,,,GS,False,Saliency_PTY'>
19,,,,,,,GS,False,Saliency_PTY'>
