,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,0.16959302534887188,True,0.1663371045587234,True,-0.13289016027706413,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,False,-0.33330174169465876,True,-0.089581597343716,True,-0.09858059075461503,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,False,0.07051048560719955,True,-0.1208137835164726,True,0.2460144688672103,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,False,-0.17714524659597586,True,-0.430885983539508,True,-0.25202875736706687,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,False,-0.04045436710573941,True,-0.05156320954735166,True,0.13875040867292612,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,False,0.07778866070619367,True,-0.04170684662207001,True,0.19594678730929946,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,False,-0.02093310474799318,True,-0.12544720290090222,True,0.07835877330399024,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,False,-0.04746106453833294,True,-0.24026310942923837,True,-0.31216363396653046,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,False,-0.005240431152113282,True,0.07699539649014464,True,0.17951947791794404,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,False,0.012355980055877253,True,-0.1444422886606375,True,-0.13023457877104036,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,False,-0.0798969078332845,True,-0.20771198633533303,True,-0.21086575715890288,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,False,-0.10154036896005476,True,-0.23146147897105462,True,0.014206368106318305,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,False,-0.04897790336393931,True,-0.01171922559742248,True,0.057637578685101214,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,False,0.14972385489808207,True,0.2089995778306112,True,0.2073381776820316,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,False,0.2176141329263529,True,0.09880864887446746,True,0.08910782024048022,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,False,0.1624775133277316,True,-0.2458735514936156,True,-0.09153154685026814,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,False,-0.008127425104864614,True,0.1851456091932794,True,0.14973124719669817,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,False,-0.30775890961431984,True,-0.04026625790433502,True,-0.29050684049080827,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,False,-0.0005383623683699306,True,-0.025922040788348224,True,-0.04751507232147373,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
19,False,-0.16047682783614542,True,-0.2889234906807555,True,0.06917870292374562,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
