,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,False,,True,,True,,FO,False,Saliency_PTY'>
1,False,,True,,True,,FO,False,Saliency_PTY'>
2,False,,True,,True,,FO,False,Saliency_PTY'>
3,False,,True,,True,,FO,False,Saliency_PTY'>
4,False,,True,,True,,FO,False,Saliency_PTY'>
5,False,,True,,True,,FO,False,Saliency_PTY'>
6,False,,True,,True,,FO,False,Saliency_PTY'>
7,False,,True,,True,,FO,False,Saliency_PTY'>
8,False,,True,,True,,FO,False,Saliency_PTY'>
9,False,,True,,True,,FO,False,Saliency_PTY'>
10,False,,True,,True,,FO,False,Saliency_PTY'>
11,False,,True,,True,,FO,False,Saliency_PTY'>
12,False,,True,,True,,FO,False,Saliency_PTY'>
13,False,,True,,True,,FO,False,Saliency_PTY'>
14,False,,True,,True,,FO,False,Saliency_PTY'>
15,False,,True,,True,,FO,False,Saliency_PTY'>
16,False,,True,,True,,FO,False,Saliency_PTY'>
17,False,,True,,True,,FO,False,Saliency_PTY'>
18,False,,True,,True,,FO,False,Saliency_PTY'>
19,False,,True,,True,,FO,False,Saliency_PTY'>
