,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,0.6287651622596943,True,0.9792815735336181,True,-0.9847725167130331,FO,False,Saliency_PTY'>
1,False,-0.14695940895895768,True,-0.5054977977111716,True,0.9727772821332448,FO,False,Saliency_PTY'>
2,False,-0.1804691003508709,True,0.604755902411419,True,0.947178642799416,FO,False,Saliency_PTY'>
3,False,-0.34908879295498796,True,-0.32188697200144684,True,0.19284167689461967,FO,False,Saliency_PTY'>
4,False,0.4155426569048796,True,0.5691622361563096,True,0.7291539635375709,FO,False,Saliency_PTY'>
5,False,0.7180806093238784,True,0.9807594312795064,True,0.9893852002625525,FO,False,Saliency_PTY'>
6,False,-0.5686662796271501,True,-0.6630368528853331,True,-0.9172527335435198,FO,False,Saliency_PTY'>
7,False,0.7056891466173977,True,0.8220453102065987,True,-0.941955614379547,FO,False,Saliency_PTY'>
8,False,-0.26852820008501643,True,-0.3772884358274613,True,0.9567627523354747,FO,False,Saliency_PTY'>
9,False,-0.31081782153574894,True,-0.39107667649451433,True,0.9084304051830038,FO,False,Saliency_PTY'>
10,False,-0.0755049184795964,True,-0.4946315927705564,True,-0.4938033931268968,FO,False,Saliency_PTY'>
11,False,0.03814371638989746,True,0.25924027242996345,True,-0.9502834257463036,FO,False,Saliency_PTY'>
12,False,-0.5066450242674178,True,-0.9642053744690109,True,-0.9011346595131285,FO,False,Saliency_PTY'>
13,False,-0.5102743922108282,True,-0.7216204450637653,True,-0.990563231310936,FO,False,Saliency_PTY'>
14,False,0.09211339889625693,True,-0.14775237306693212,True,-0.9754923500207833,FO,False,Saliency_PTY'>
15,False,-0.2018212101381621,True,-0.6914529624470646,True,-0.5760895057730272,FO,False,Saliency_PTY'>
16,False,0.4245388552647739,True,0.8961405896827647,True,0.637456716421747,FO,False,Saliency_PTY'>
17,False,-0.5482232762314284,True,-0.7825669844907582,True,-0.9814832516915495,FO,False,Saliency_PTY'>
18,False,0.13317349679092164,True,0.546308258459149,True,-0.9614325222048016,FO,False,Saliency_PTY'>
19,False,-0.30609687251342516,True,-0.34271079871446203,True,0.9790140000414552,FO,False,Saliency_PTY'>
