,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthtic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
1,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
2,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
3,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
4,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
5,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
7,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
8,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
9,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
10,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
11,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
12,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
13,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
14,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
15,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
16,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
17,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
18,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
19,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
