,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthtic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,,,,,,,GS,True,Saliency_PTY'>
1,,,,,,,GS,True,Saliency_PTY'>
2,,,,,,,GS,True,Saliency_PTY'>
3,,,,,,,GS,True,Saliency_PTY'>
4,,,,,,,GS,True,Saliency_PTY'>
5,,,,,,,GS,True,Saliency_PTY'>
6,,,,,,,GS,True,Saliency_PTY'>
7,,,,,,,GS,True,Saliency_PTY'>
8,,,,,,,GS,True,Saliency_PTY'>
9,,,,,,,GS,True,Saliency_PTY'>
10,,,,,,,GS,True,Saliency_PTY'>
11,,,,,,,GS,True,Saliency_PTY'>
12,,,,,,,GS,True,Saliency_PTY'>
13,,,,,,,GS,True,Saliency_PTY'>
14,,,,,,,GS,True,Saliency_PTY'>
15,,,,,,,GS,True,Saliency_PTY'>
16,,,,,,,GS,True,Saliency_PTY'>
17,,,,,,,GS,True,Saliency_PTY'>
18,,,,,,,GS,True,Saliency_PTY'>
19,,,,,,,GS,True,Saliency_PTY'>
