,complexity,method,tsr,explanation
0,4.778413847508823,FO,False,Saliency_PTY'>
1,7.397692351288585,FO,False,Saliency_PTY'>
2,7.415780011725952,FO,False,Saliency_PTY'>
3,7.661660392387786,FO,False,Saliency_PTY'>
4,5.287281882267202,FO,False,Saliency_PTY'>
5,7.0897420479110815,FO,False,Saliency_PTY'>
6,7.507705056052737,FO,False,Saliency_PTY'>
7,7.514390521426574,FO,False,Saliency_PTY'>
8,7.44438086892627,FO,False,Saliency_PTY'>
9,7.4128906675884325,FO,False,Saliency_PTY'>
10,6.255320254690235,FO,False,Saliency_PTY'>
11,7.283529335354454,FO,False,Saliency_PTY'>
12,7.392778576695548,FO,False,Saliency_PTY'>
13,6.593867633884452,FO,False,Saliency_PTY'>
14,5.119415876297393,FO,False,Saliency_PTY'>
15,7.303251806592382,FO,False,Saliency_PTY'>
16,7.444775369697995,FO,False,Saliency_PTY'>
17,7.405979759495803,FO,False,Saliency_PTY'>
18,7.382174471976732,FO,False,Saliency_PTY'>
19,6.108358747273805,FO,False,Saliency_PTY'>
