,complexity,method,tsr,explanation
0,7.283766180755104,SG,False,Saliency_PTY'>
1,7.257759303421416,SG,False,Saliency_PTY'>
2,7.239363124508557,SG,False,Saliency_PTY'>
3,7.197144683803034,SG,False,Saliency_PTY'>
4,7.242319832573937,SG,False,Saliency_PTY'>
5,7.2380319511458,SG,False,Saliency_PTY'>
6,7.2603507471617785,SG,False,Saliency_PTY'>
7,7.276763795483811,SG,False,Saliency_PTY'>
8,7.231793527373501,SG,False,Saliency_PTY'>
9,7.257050715809499,SG,False,Saliency_PTY'>
10,7.309855272940079,SG,False,Saliency_PTY'>
11,7.2457491818290976,SG,False,Saliency_PTY'>
12,7.239365407440918,SG,False,Saliency_PTY'>
13,7.245709273231011,SG,False,Saliency_PTY'>
14,7.237923199785746,SG,False,Saliency_PTY'>
15,7.264314573554308,SG,False,Saliency_PTY'>
16,7.264318279815609,SG,False,Saliency_PTY'>
17,7.231986625311029,SG,False,Saliency_PTY'>
18,7.251091622761033,SG,False,Saliency_PTY'>
19,7.293677452999727,SG,False,Saliency_PTY'>
