,complexity,transformer,epochs,explanation
0,7.661259141397016,authentic_opposing_information,100,TSEvo'>
1,7.645194580704322,authentic_opposing_information,100,TSEvo'>
2,7.651536289949291,authentic_opposing_information,100,TSEvo'>
3,7.645858424167838,authentic_opposing_information,100,TSEvo'>
4,7.627074623831906,authentic_opposing_information,100,TSEvo'>
5,7.6359319172644495,authentic_opposing_information,100,TSEvo'>
6,7.602673528949814,authentic_opposing_information,100,TSEvo'>
7,7.647795774390269,authentic_opposing_information,100,TSEvo'>
8,7.641269681669524,authentic_opposing_information,100,TSEvo'>
9,7.6283550881228415,authentic_opposing_information,100,TSEvo'>
10,7.664720107184238,authentic_opposing_information,100,TSEvo'>
11,7.625778142921003,authentic_opposing_information,100,TSEvo'>
12,7.656729547111585,authentic_opposing_information,100,TSEvo'>
13,7.6233112476084886,authentic_opposing_information,100,TSEvo'>
14,7.629465519218019,authentic_opposing_information,100,TSEvo'>
15,7.658794073370318,authentic_opposing_information,100,TSEvo'>
16,7.643241435014159,authentic_opposing_information,100,TSEvo'>
17,7.634103370720419,authentic_opposing_information,100,TSEvo'>
18,7.64119647870894,authentic_opposing_information,100,TSEvo'>
19,7.6176736360877815,authentic_opposing_information,100,TSEvo'>
